,index,DA_margin,DA_imb
0,201601011,31830,708
1,201601012,31411,607
2,201601013,30873,292
3,201601014,31608,724
4,201601015,32475,1052
5,201601016,32766,1158
6,201601017,32369,711
7,201601018,33090,1080
8,201601019,33666,1130
9,2016010110,33935,1187
10,2016010111,34315,1360
11,2016010112,34200,1580
12,2016010113,33452,627
13,2016010114,33220,467
14,2016010115,32206,0
15,2016010116,32489,1
16,2016010117,32809,436
17,2016010118,31727,-371
18,2016010119,31738,187
19,2016010120,30593,-23
20,2016010121,29577,-234
21,2016010122,28215,-557
22,2016010123,27025,-393
23,2016010124,26000,-557
24,2016010125,24644,-942
25,2016010126,24266,-1136
26,2016010127,24020,-821
27,2016010128,24219,-475
28,2016010129,24397,-224
29,2016010130,24390,-196
30,2016010131,23915,-392
31,2016010132,23135,-476
32,2016010133,21316,-988
33,2016010134,19685,-816
34,2016010135,18901,-1778
35,2016010136,19273,-1226
36,2016010137,20342,-1037
37,2016010138,21496,-529
38,2016010139,22751,-1100
39,2016010140,23829,-1603
40,2016010141,25112,-1055
41,2016010142,26277,-967
42,2016010143,27360,-1497
43,2016010144,29029,-1161
44,2016010145,30012,-924
45,2016010146,30744,-868
46,2016010147,31081,-1151
47,2016010148,32483,180
48,201601021,32209,688
49,201601022,32159,718
50,201601023,31943,208
51,201601024,32324,583
52,201601025,32588,585
53,201601026,32069,471
54,201601027,32071,363
55,201601028,32124,870
56,201601029,32326,1358
57,2016010210,32944,1837
58,2016010211,32511,1271
59,2016010212,32086,734
60,2016010213,32537,547
61,2016010214,32090,25
62,2016010215,30837,158
63,2016010216,29996,309
64,2016010217,28373,-364
65,2016010218,26597,-1529
66,2016010219,25765,-404
67,2016010220,24309,136
68,2016010221,23171,-386
69,2016010222,22149,-663
70,2016010223,21250,-632
71,2016010224,20869,-377
72,2016010225,20621,-561
73,2016010226,21988,1003
74,2016010227,21759,830
75,2016010228,21904,862
76,2016010229,21997,709
77,2016010230,22030,894
78,2016010231,21239,505
79,2016010232,20385,537
80,2016010233,18129,120
81,2016010234,15222,-638
82,2016010235,13617,-1976
83,2016010236,13556,-1928
84,2016010237,14528,-1692
85,2016010238,15737,-389
86,2016010239,17254,-46
87,2016010240,19083,530
88,2016010241,20524,1081
89,2016010242,21679,1014
90,2016010243,23118,1393
91,2016010244,24525,1461
92,2016010245,26493,1343
93,2016010246,27715,1461
94,2016010247,28346,1035
95,2016010248,29507,1214
96,201601031,30080,1065
97,201601032,30030,677
98,201601033,30066,455
99,201601034,30674,549
100,201601035,31010,481
101,201601036,31820,788
102,201601037,32441,819
103,201601038,32994,1134
104,201601039,33612,1675
105,2016010310,34058,1926
106,2016010311,34335,2089
107,2016010312,33774,1721
108,2016010313,32852,453
109,2016010314,32488,102
110,2016010315,32061,-96
111,2016010316,31734,-132
112,2016010317,30843,-624
113,2016010318,28856,-919
114,2016010319,27525,134
115,2016010320,25826,-608
116,2016010321,24141,-1058
117,2016010322,23634,-580
118,2016010323,23004,-250
119,2016010324,22605,-135
120,2016010325,22181,-230
121,2016010326,21975,-176
122,2016010327,21653,-242
123,2016010328,22214,-223
124,2016010329,21593,-712
125,2016010330,21481,-718
126,2016010331,20714,-92
127,2016010332,20093,226
128,2016010333,18436,294
129,2016010334,16743,86
130,2016010335,15748,-344
131,2016010336,15829,-400
132,2016010337,16321,-371
133,2016010338,17574,439
134,2016010339,18866,356
135,2016010340,20170,691
136,2016010341,20744,744
137,2016010342,22240,674
138,2016010343,23731,513
139,2016010344,24968,439
140,2016010345,26068,44
141,2016010346,27617,148
142,2016010347,28723,253
143,2016010348,29793,566
144,201601041,31052,1631
145,201601042,30550,1433
146,201601043,29933,1382
147,201601044,29706,1159
148,201601045,29695,872
149,201601046,29688,943
150,201601047,30054,600
151,201601048,30440,926
152,201601049,30943,1286
153,2016010410,30865,1588
154,2016010411,30264,1429
155,2016010412,30310,1683
156,2016010413,29589,1374
157,2016010414,26571,773
158,2016010415,23321,1776
159,2016010416,20458,1853
160,2016010417,19362,1869
161,2016010418,18197,1822
162,2016010419,17058,1500
163,2016010420,16499,1682
164,2016010421,15841,727
165,2016010422,15521,380
166,2016010423,16473,1315
167,2016010424,15882,596
168,2016010425,15688,299
169,2016010426,16415,1186
170,2016010427,16449,1412
171,2016010428,16329,1165
172,2016010429,16303,1002
173,2016010430,16432,770
174,2016010431,15760,787
175,2016010432,15155,1176
176,2016010433,13422,1282
177,2016010434,12269,1317
178,2016010435,11377,1024
179,2016010436,12758,2137
180,2016010437,12740,1981
181,2016010438,12991,1135
182,2016010439,14051,238
183,2016010440,15413,280
184,2016010441,17122,224
185,2016010442,18911,-36
186,2016010443,21158,-129
187,2016010444,23598,385
188,2016010445,25433,192
189,2016010446,27139,319
190,2016010447,29346,73
191,2016010448,30889,888
192,201601051,31514,794
193,201601052,31205,818
194,201601053,30556,248
195,201601054,30835,372
196,201601055,31071,453
197,201601056,31238,540
198,201601057,31684,544
199,201601058,32194,862
200,201601059,32651,1070
201,2016010510,32645,1159
202,2016010511,32448,1229
203,2016010512,31594,1665
204,2016010513,29847,2092
205,2016010514,25714,1502
206,2016010515,22250,1916
207,2016010516,19727,987
208,2016010517,18366,363
209,2016010518,18112,818
210,2016010519,17443,378
211,2016010520,16697,310
212,2016010521,16686,286
213,2016010522,16365,-86
214,2016010523,16727,306
215,2016010524,16437,92
216,2016010525,15982,207
217,2016010526,16127,232
218,2016010527,16101,264
219,2016010528,15940,260
220,2016010529,15944,457
221,2016010530,15971,771
222,2016010531,15895,1366
223,2016010532,15092,1663
224,2016010533,13203,1735
225,2016010534,10650,1499
226,2016010535,9536,1054
227,2016010536,10693,1845
228,2016010537,11611,1187
229,2016010538,11215,997
230,2016010539,12422,1301
231,2016010540,13883,921
232,2016010541,15477,551
233,2016010542,17205,1039
234,2016010543,19491,840
235,2016010544,22160,856
236,2016010545,24601,1144
237,2016010546,26725,1509
238,2016010547,28004,1963
239,2016010548,30082,2693
240,201601061,29696,1972
241,201601062,29107,2048
242,201601063,28878,1751
243,201601064,29417,1299
244,201601065,30080,1094
245,201601066,30108,1177
246,201601067,30437,1369
247,201601068,31202,1687
248,201601069,31817,1707
249,2016010610,32079,2146
250,2016010611,31100,1473
251,2016010612,30509,1420
252,2016010613,28670,1442
253,2016010614,25324,1356
254,2016010615,21216,2389
255,2016010616,18785,1608
256,2016010617,17196,1231
257,2016010618,17162,1375
258,2016010619,16733,964
259,2016010620,16279,1090
260,2016010621,16496,1152
261,2016010622,16482,1172
262,2016010623,16355,1115
263,2016010624,15742,963
264,2016010625,15439,680
265,2016010626,15570,757
266,2016010627,15662,667
267,2016010628,16438,1494
268,2016010629,15918,1300
269,2016010630,15617,826
270,2016010631,15301,1016
271,2016010632,14362,344
272,2016010633,12728,505
273,2016010634,10784,115
274,2016010635,10367,269
275,2016010636,10908,236
276,2016010637,11074,-207
277,2016010638,11884,153
278,2016010639,12948,-497
279,2016010640,15312,389
280,2016010641,17008,-101
281,2016010642,18889,102
282,2016010643,20985,47
283,2016010644,23058,212
284,2016010645,24957,-27
285,2016010646,27226,193
286,2016010647,29104,70
287,2016010648,30526,317
288,201601071,29931,-193
289,201601072,29757,-51
290,201601073,29479,-50
291,201601074,30258,180
292,201601075,30723,32
293,201601076,30903,-86
294,201601077,31399,-135
295,201601078,31971,159
296,201601079,32344,315
297,2016010710,32141,414
298,2016010711,31688,894
299,2016010712,31212,494
300,2016010713,29240,224
301,2016010714,26267,734
302,2016010715,21917,898
303,2016010716,19468,288
304,2016010717,18226,707
305,2016010718,17963,1459
306,2016010719,17301,1053
307,2016010720,17155,844
308,2016010721,17048,194
309,2016010722,17173,410
310,2016010723,17218,211
311,2016010724,16714,13
312,2016010725,16695,-119
313,2016010726,16847,-110
314,2016010727,16969,653
315,2016010728,16510,786
316,2016010729,16325,800
317,2016010730,16160,611
318,2016010731,15371,808
319,2016010732,13389,733
320,2016010733,11181,95
321,2016010734,9628,-253
322,2016010735,9342,447
323,2016010736,9818,972
324,2016010737,10674,1487
325,2016010738,10819,1130
326,2016010739,11740,583
327,2016010740,12975,-182
328,2016010741,14654,-273
329,2016010742,17222,448
330,2016010743,19040,674
331,2016010744,21087,675
332,2016010745,21764,1165
333,2016010746,24464,830
334,2016010747,26982,543
335,2016010748,28370,458
336,201601081,28921,934
337,201601082,27892,661
338,201601083,26912,104
339,201601084,27172,352
340,201601085,27575,566
341,201601086,27557,503
342,201601087,27825,158
343,201601088,28186,212
344,201601089,28247,164
345,2016010810,28140,204
346,2016010811,27385,258
347,2016010812,26043,705
348,2016010813,23794,861
349,2016010814,20950,1235
350,2016010815,16252,21
351,2016010816,13484,-831
352,2016010817,12592,-583
353,2016010818,12827,-399
354,2016010819,12201,-780
355,2016010820,11618,-582
356,2016010821,12682,-301
357,2016010822,13172,160
358,2016010823,12778,379
359,2016010824,12931,709
360,2016010825,12928,768
361,2016010826,13211,1360
362,2016010827,14960,2049
363,2016010828,15049,1888
364,2016010829,15198,1719
365,2016010830,15438,1321
366,2016010831,15064,1584
367,2016010832,13955,2066
368,2016010833,12088,2618
369,2016010834,9645,1104
370,2016010835,8493,844
371,2016010836,8743,713
372,2016010837,9212,680
373,2016010838,10239,1122
374,2016010839,11833,1326
375,2016010840,13328,1203
376,2016010841,14462,801
377,2016010842,15846,577
378,2016010843,16929,643
379,2016010844,18686,833
380,2016010845,20009,418
381,2016010846,21814,293
382,2016010847,22705,48
383,2016010848,23894,-390
384,201601091,24777,326
385,201601092,24201,-123
386,201601093,24302,-142
387,201601094,24935,381
388,201601095,24745,334
389,201601096,24598,137
390,201601097,25115,370
391,201601098,25788,519
392,201601099,26407,275
393,2016010910,26856,412
394,2016010911,26991,550
395,2016010912,26971,555
396,2016010913,26064,522
397,2016010914,26086,445
398,2016010915,25223,796
399,2016010916,23753,594
400,2016010917,22165,777
401,2016010918,20301,597
402,2016010919,18915,477
403,2016010920,18097,1169
404,2016010921,17426,1025
405,2016010922,16960,667
406,2016010923,16620,529
407,2016010924,16362,470
408,2016010925,17483,1243
409,2016010926,17569,1564
410,2016010927,17684,1542
411,2016010928,18051,1562
412,2016010929,18210,1265
413,2016010930,18075,1366
414,2016010931,17295,1757
415,2016010932,17197,1942
416,2016010933,15657,2449
417,2016010934,12595,1523
418,2016010935,10579,661
419,2016010936,10387,541
420,2016010937,11163,536
421,2016010938,12384,565
422,2016010939,14177,580
423,2016010940,15723,692
424,2016010941,17201,389
425,2016010942,18932,505
426,2016010943,19727,-14
427,2016010944,21081,330
428,2016010945,22208,285
429,2016010946,23257,-45
430,2016010947,23458,-388
431,2016010948,24328,-360
432,201601101,26097,1440
433,201601102,25924,1367
434,201601103,26296,1350
435,201601104,26624,1683
436,201601105,26985,1541
437,201601106,26885,1185
438,201601107,27288,691
439,201601108,27589,456
440,201601109,28092,930
441,2016011010,28396,1180
442,2016011011,27865,712
443,2016011012,27488,420
444,2016011013,26753,175
445,2016011014,26345,-37
446,2016011015,26278,-24
447,2016011016,25853,-349
448,2016011017,24778,-86
449,2016011018,22998,-288
450,2016011019,21373,-595
451,2016011020,19986,-511
452,2016011021,18731,-727
453,2016011022,19243,730
454,2016011023,18619,839
455,2016011024,18209,994
456,2016011025,17829,1134
457,2016011026,17932,1590
458,2016011027,18055,1780
459,2016011028,18461,2183
460,2016011029,18931,1837
461,2016011030,19138,2114
462,2016011031,18941,2241
463,2016011032,17983,2755
464,2016011033,16246,3467
465,2016011034,12861,2052
466,2016011035,10084,432
467,2016011036,9680,441
468,2016011037,10544,108
469,2016011038,11686,633
470,2016011039,13794,1001
471,2016011040,14783,1011
472,2016011041,15825,1215
473,2016011042,17529,1494
474,2016011043,18781,957
475,2016011044,21302,1347
476,2016011045,22816,994
477,2016011046,24676,1456
478,2016011047,26469,2065
479,2016011048,27412,1794
480,201601111,28234,1288
481,201601112,27424,1228
482,201601113,27046,1203
483,201601114,27813,1195
484,201601115,28305,1380
485,201601116,28305,1310
486,201601117,29358,1589
487,201601118,29366,1743
488,201601119,30082,1779
489,2016011110,30372,2102
490,2016011111,30464,2227
491,2016011112,28737,2353
492,2016011113,24966,2277
493,2016011114,21654,2021
494,2016011115,17147,2212
495,2016011116,14344,1923
496,2016011117,13626,2577
497,2016011118,13362,3006
498,2016011119,12921,2441
499,2016011120,11701,2063
500,2016011121,12111,2081
501,2016011122,12588,1936
502,2016011123,12437,2101
503,2016011124,12339,2094
504,2016011125,12824,2369
505,2016011126,12526,1531
506,2016011127,11933,1083
507,2016011128,11807,1174
508,2016011129,11839,937
509,2016011130,11720,1145
510,2016011131,12088,1666
511,2016011132,11446,1235
512,2016011133,9847,1249
513,2016011134,8344,1420
514,2016011135,8272,1921
515,2016011136,8532,1929
516,2016011137,8562,1132
517,2016011138,9121,741
518,2016011139,10396,600
519,2016011140,11686,620
520,2016011141,12963,-64
521,2016011142,14744,315
522,2016011143,16575,306
523,2016011144,19181,483
524,2016011145,21817,857
525,2016011146,24527,1146
526,2016011147,26694,998
527,2016011148,28435,1338
528,201601121,27307,376
529,201601122,26639,174
530,201601123,25886,92
531,201601124,27196,1119
532,201601125,27500,1096
533,201601126,27445,850
534,201601127,28008,475
535,201601128,29159,1242
536,201601129,29621,2100
537,2016011210,29547,1871
538,2016011211,29349,1355
539,2016011212,28491,1121
540,2016011213,26768,1879
541,2016011214,23769,1706
542,2016011215,19674,1751
543,2016011216,17279,1332
544,2016011217,15644,1246
545,2016011218,14730,1411
546,2016011219,15111,494
547,2016011220,15236,621
548,2016011221,14914,375
549,2016011222,14452,-130
550,2016011223,14217,-272
551,2016011224,15288,915
552,2016011225,15146,758
553,2016011226,14891,795
554,2016011227,14821,778
555,2016011228,14428,949
556,2016011229,14373,1133
557,2016011230,14743,815
558,2016011231,14787,1085
559,2016011232,13049,1084
560,2016011233,11640,1099
561,2016011234,10161,2263
562,2016011235,9370,1707
563,2016011236,9631,1796
564,2016011237,10572,2132
565,2016011238,10778,1628
566,2016011239,11820,506
567,2016011240,13257,596
568,2016011241,15058,955
569,2016011242,17146,875
570,2016011243,19228,1011
571,2016011244,21913,1178
572,2016011245,24415,1146
573,2016011246,26237,1375
574,2016011247,27129,1321
575,2016011248,28748,1914
576,201601131,28507,1411
577,201601132,27328,1084
578,201601133,27182,1303
579,201601134,27551,1531
580,201601135,28420,1422
581,201601136,27930,1413
582,201601137,28648,1310
583,201601138,29354,1115
584,201601139,30339,1684
585,2016011310,29822,1390
586,2016011311,29286,1422
587,2016011312,27571,1301
588,2016011313,25251,1278
589,2016011314,22929,2488
590,2016011315,17046,2210
591,2016011316,14321,1552
592,2016011317,14357,2611
593,2016011318,14400,2707
594,2016011319,14101,2469
595,2016011320,13490,2450
596,2016011321,13702,2613
597,2016011322,13955,2905
598,2016011323,13859,2715
599,2016011324,13890,2633
600,2016011325,13939,1921
601,2016011326,13901,1955
602,2016011327,13798,1885
603,2016011328,14102,2011
604,2016011329,14092,1844
605,2016011330,14171,2247
606,2016011331,13892,3004
607,2016011332,12233,2843
608,2016011333,10040,2760
609,2016011334,8360,2009
610,2016011335,8672,2093
611,2016011336,8906,2444
612,2016011337,9165,1912
613,2016011338,9340,1991
614,2016011339,10685,1684
615,2016011340,11892,1461
616,2016011341,12845,1647
617,2016011342,14452,1466
618,2016011343,16376,766
619,2016011344,18282,671
620,2016011345,20506,743
621,2016011346,22819,1090
622,2016011347,24946,512
623,2016011348,25797,436
624,201601141,26573,506
625,201601142,25952,40
626,201601143,25794,-39
627,201601144,25739,-143
628,201601145,25902,-28
629,201601146,25812,86
630,201601147,26185,29
631,201601148,26959,481
632,201601149,27047,287
633,2016011410,28578,1552
634,2016011411,28606,687
635,2016011412,28505,942
636,2016011413,26174,824
637,2016011414,23270,509
638,2016011415,18986,436
639,2016011416,15783,-8
640,2016011417,15147,322
641,2016011418,15283,707
642,2016011419,14958,437
643,2016011420,14316,362
644,2016011421,13714,452
645,2016011422,13451,461
646,2016011423,14009,-119
647,2016011424,14324,289
648,2016011425,14016,232
649,2016011426,13962,260
650,2016011427,13903,299
651,2016011428,13997,257
652,2016011429,13908,153
653,2016011430,14161,65
654,2016011431,13749,74
655,2016011432,12657,369
656,2016011433,11322,291
657,2016011434,9767,-59
658,2016011435,9755,337
659,2016011436,9824,385
660,2016011437,10011,251
661,2016011438,10312,37
662,2016011439,11620,-728
663,2016011440,12827,-98
664,2016011441,14266,279
665,2016011442,16276,24
666,2016011443,18507,15
667,2016011444,20643,-59
668,2016011445,22651,-780
669,2016011446,25228,112
670,2016011447,27342,161
671,2016011448,29826,1023
672,201601151,28758,30
673,201601152,28298,-276
674,201601153,27866,-255
675,201601154,28582,-45
676,201601155,29031,-23
677,201601156,29041,10
678,201601157,29170,-123
679,201601158,29396,-156
680,201601159,29574,-313
681,2016011510,29286,-284
682,2016011511,28367,45
683,2016011512,27971,302
684,2016011513,26255,324
685,2016011514,23414,-11
686,2016011515,19269,-294
687,2016011516,16745,-140
688,2016011517,16116,-45
689,2016011518,16389,417
690,2016011519,16132,633
691,2016011520,15475,637
692,2016011521,15723,766
693,2016011522,15694,833
694,2016011523,15574,339
695,2016011524,15684,409
696,2016011525,15493,392
697,2016011526,16567,1304
698,2016011527,16836,1028
699,2016011528,16855,913
700,2016011529,16615,792
701,2016011530,16292,396
702,2016011531,16070,175
703,2016011532,14894,286
704,2016011533,12909,-62
705,2016011534,11197,-70
706,2016011535,10079,342
707,2016011536,10387,643
708,2016011537,10425,561
709,2016011538,10785,418
710,2016011539,11914,825
711,2016011540,13209,891
712,2016011541,14667,859
713,2016011542,16501,715
714,2016011543,18133,-134
715,2016011544,20361,255
716,2016011545,21882,463
717,2016011546,23392,518
718,2016011547,25700,634
719,2016011548,26796,990
720,201601161,26005,511
721,201601162,25481,67
722,201601163,25177,-162
723,201601164,25799,424
724,201601165,25847,193
725,201601166,26006,252
726,201601167,26291,273
727,201601168,26612,386
728,201601169,26783,361
729,2016011610,27128,245
730,2016011611,26494,289
731,2016011612,26653,301
732,2016011613,26368,183
733,2016011614,26159,535
734,2016011615,24544,-58
735,2016011616,22396,-173
736,2016011617,21073,398
737,2016011618,18313,-22
738,2016011619,16900,3
739,2016011620,15590,-31
740,2016011621,15924,948
741,2016011622,15859,73
742,2016011623,15866,972
743,2016011624,15874,1104
744,2016011625,15879,782
745,2016011626,16328,1202
746,2016011627,16806,1735
747,2016011628,17685,2051
748,2016011629,17419,2079
749,2016011630,17466,2616
750,2016011631,17091,2572
751,2016011632,16582,2770
752,2016011633,15795,3336
753,2016011634,13323,2551
754,2016011635,11078,1126
755,2016011636,10772,1034
756,2016011637,11310,915
757,2016011638,11345,493
758,2016011639,12917,735
759,2016011640,14828,1082
760,2016011641,16084,927
761,2016011642,17391,846
762,2016011643,18744,593
763,2016011644,20163,849
764,2016011645,20844,920
765,2016011646,21732,721
766,2016011647,23447,712
767,2016011648,25040,1260
768,201601171,24797,902
769,201601172,24453,565
770,201601173,24251,572
771,201601174,24822,586
772,201601175,24966,487
773,201601176,25380,513
774,201601177,24929,487
775,201601178,25497,530
776,201601179,25889,176
777,2016011710,26732,542
778,2016011711,26882,500
779,2016011712,26827,430
780,2016011713,27067,302
781,2016011714,26884,206
782,2016011715,27166,689
783,2016011716,27547,1121
784,2016011717,26274,484
785,2016011718,24145,230
786,2016011719,22128,561
787,2016011720,19943,764
788,2016011721,18756,276
789,2016011722,18038,297
790,2016011723,17437,397
791,2016011724,16561,390
792,2016011725,16172,371
793,2016011726,16158,533
794,2016011727,16577,615
795,2016011728,16986,862
796,2016011729,16907,593
797,2016011730,16355,875
798,2016011731,16186,1541
799,2016011732,15943,2011
800,2016011733,14529,1989
801,2016011734,11806,1219
802,2016011735,10347,-23
803,2016011736,10299,279
804,2016011737,11157,507
805,2016011738,12515,810
806,2016011739,13522,427
807,2016011740,15200,447
808,2016011741,16968,220
809,2016011742,18866,749
810,2016011743,18613,281
811,2016011744,20554,725
812,2016011745,22283,282
813,2016011746,24140,-15
814,2016011747,26328,-642
815,2016011748,27069,-680
816,201601181,27386,-1044
817,201601182,27207,-1301
818,201601183,29102,739
819,201601184,29409,651
820,201601185,29749,793
821,201601186,29540,378
822,201601187,29267,442
823,201601188,29642,757
824,201601189,29453,708
825,2016011810,29342,548
826,2016011811,28653,912
827,2016011812,27802,949
828,2016011813,24723,1207
829,2016011814,21652,1650
830,2016011815,15465,2118
831,2016011816,12911,1462
832,2016011817,12612,1712
833,2016011818,12580,2147
834,2016011819,11864,1173
835,2016011820,10976,917
836,2016011821,11212,1278
837,2016011822,11025,739
838,2016011823,11325,1063
839,2016011824,11653,771
840,2016011825,11452,396
841,2016011826,11513,501
842,2016011827,11478,202
843,2016011828,11552,393
844,2016011829,11276,486
845,2016011830,11222,1017
846,2016011831,11183,1126
847,2016011832,10262,806
848,2016011833,10140,1504
849,2016011834,8869,1197
850,2016011835,7842,1149
851,2016011836,8039,1352
852,2016011837,8653,1408
853,2016011838,9438,1800
854,2016011839,10205,1896
855,2016011840,10929,1148
856,2016011841,12138,662
857,2016011842,13714,630
858,2016011843,15064,528
859,2016011844,17459,889
860,2016011845,18636,421
861,2016011846,20778,1095
862,2016011847,23210,316
