,all_param,rmse_cv,mae_cv,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
0,"{'n_hidden': 1, 'n_neurons': 10}",59.83399194632463,33.47208841528211,33.233267619694566,25.525062343920816,71.9812603293043,59.10599685708535,22.69840513049924,20.671567902565002
1,"{'n_hidden': 1, 'n_neurons': 15}",57.88725022395271,31.388677937643866,33.12163410568911,25.263627723769883,71.84398331290046,58.8815225945385,22.57417041602341,20.404791355729103
2,"{'n_hidden': 1, 'n_neurons': 20}",56.519459656776384,30.070715328625273,33.6050487199706,26.116987935659782,70.68039155641088,57.69226881324561,23.88474424630991,21.5533731213212
3,"{'n_hidden': 1, 'n_neurons': 25}",56.152549685181384,29.649156141281132,33.561215333651184,26.056439999575048,70.74609769080828,57.775155741082266,23.78588437556848,21.47209436506033
4,"{'n_hidden': 1, 'n_neurons': 30}",55.554270419512385,29.055017822129383,34.44707695657953,27.530761495125937,69.27640281504485,56.40061664930188,25.77721452970484,23.358165242373943
5,"{'n_hidden': 1, 'n_neurons': 35}",55.177852849068735,28.747703555652073,34.213234068460324,27.13384889757384,69.41980779577027,56.517431133769264,25.36166047897081,22.88700302749872
6,"{'n_hidden': 1, 'n_neurons': 40}",55.00321535892591,28.546367137772698,33.417653289932815,25.633337793237473,70.61289809772305,57.60230809637945,23.611105171953255,21.01282255411148
7,"{'n_hidden': 1, 'n_neurons': 45}",54.86428442177116,28.443633413314817,34.03126127578132,26.786598919342353,69.58867472038843,56.66070276042216,25.012148686658833,22.468857348561286
8,"{'n_hidden': 2, 'n_neurons': 10}",60.06524481900255,33.90775374685015,32.709478466757105,24.38466712409843,72.84780028813633,59.96223524803367,21.390340835115428,19.242596731185913
9,"{'n_hidden': 2, 'n_neurons': 15}",57.769244858373355,31.59356184686933,33.71348858185545,26.33250805882581,70.88489472375352,58.066376689585084,23.971896910533353,21.74597235828638
10,"{'n_hidden': 2, 'n_neurons': 20}",57.06006105905354,30.711140830176216,33.50152596594633,25.990044803083503,70.61101809713227,57.70212403208139,23.747559042437903,21.406658352017402
11,"{'n_hidden': 2, 'n_neurons': 25}",56.20332564893043,29.772387402398245,33.76752992981301,26.32069641508864,70.16777779776771,57.27541225369839,24.360730615380415,21.846772641539573
12,"{'n_hidden': 2, 'n_neurons': 30}",55.14667850922564,28.864958875519893,33.21278580059992,25.208080243886485,70.95781313112984,58.08280690000791,23.125819425132928,20.456654906868934
13,"{'n_hidden': 2, 'n_neurons': 35}",54.86100653087052,28.57121707030705,33.68987486002877,26.037509688079105,70.03887507373597,57.19378716585726,24.29118747336485,21.53445395886898
14,"{'n_hidden': 2, 'n_neurons': 40}",54.70769531245418,28.37547975948879,34.55981573694631,27.461476951883466,68.76756978341099,56.035986439868815,26.144235060809148,23.33156737744808
15,"{'n_hidden': 2, 'n_neurons': 45}",54.42198659901758,28.094275821958266,35.31391854804448,28.690221536836074,67.62305995758038,54.85138762023926,27.683750328477725,24.909115501344203
16,"{'n_hidden': 3, 'n_neurons': 10}",60.773641477887764,34.82928897653307,32.64948038759586,24.24197900432079,72.90937357757973,60.14974318672798,21.254678798734155,19.052184962332248
17,"{'n_hidden': 3, 'n_neurons': 15}",57.91257969664137,31.67118344988142,33.0026364042559,24.756540699771193,72.21289633113629,59.44090047102644,22.201491728313833,19.743566826581954
18,"{'n_hidden': 3, 'n_neurons': 20}",56.498192879077315,30.294347541672842,33.451024480073414,25.49770345230675,70.48501754030482,57.700550572559244,23.720163787349524,20.84338570445776
19,"{'n_hidden': 3, 'n_neurons': 25}",56.42954359103552,30.16211255959102,33.042177358315755,24.765351862778388,71.19359612568311,58.314516354518574,22.738115559726587,19.91644918233156
20,"{'n_hidden': 3, 'n_neurons': 30}",55.37392592435621,29.165784767695836,34.79258636969506,27.74155367208539,68.32881323756092,55.67941385051005,26.658793316607117,23.703659818172454
21,"{'n_hidden': 3, 'n_neurons': 35}",55.143859515902314,28.877136969566344,33.065687446840194,24.596227571973575,71.34128423417604,58.44368153998297,22.710311462097085,19.704212740659713
22,"{'n_hidden': 3, 'n_neurons': 40}",54.71873404132355,28.425337672233585,34.801898418409564,27.939312649409064,68.14818711889941,55.43516548608728,26.73940685711388,23.965302669107913
23,"{'n_hidden': 3, 'n_neurons': 45}",54.32574169025545,28.045340973990303,33.222234996293224,24.581828157390298,71.32447343017758,58.445330571750944,22.97785723224139,19.68749382406473
24,"{'n_hidden': 4, 'n_neurons': 10}",60.24325384825281,34.32645337922232,32.82219626977689,24.152739799211002,72.72506531972033,59.82307101933659,21.64678227050784,18.997262240052223
25,"{'n_hidden': 4, 'n_neurons': 15}",58.168045464401814,32.08986702987126,33.7487620202539,26.094701530324265,70.67414411593735,58.13668223034008,24.11819422164868,21.463634007275104
26,"{'n_hidden': 4, 'n_neurons': 20}",56.56216336626591,30.46147296769279,32.47602552365855,23.143926383839894,72.84394850431578,59.798732271332604,20.98119634901774,17.846161470413207
27,"{'n_hidden': 4, 'n_neurons': 25}",56.14467617292648,29.90823404788971,33.64148723569704,25.608983815474264,70.16088881197787,57.36161214301031,24.163205627472628,21.01973675251007
28,"{'n_hidden': 4, 'n_neurons': 30}",55.54947603304049,29.313252019882203,34.73187006202492,27.576490627768454,69.00435096652318,56.57396757629394,26.31446719784591,23.38544903755188
29,"{'n_hidden': 4, 'n_neurons': 35}",55.19295507458063,28.945752821649823,33.42603012759249,25.03444909657345,71.0703670839017,58.072586346584,23.425568523924184,20.25940582215786
30,"{'n_hidden': 4, 'n_neurons': 40}",54.82935704202522,28.52860052245004,33.48391512432246,25.30317545846985,70.49146621615628,57.536641485249284,23.770454322544907,20.64443232178688
31,"{'n_hidden': 4, 'n_neurons': 45}",54.49978625254381,28.24775291170393,33.79344457688233,25.882045040506096,70.00330375482787,56.99468935207057,24.470005298483045,21.38529566735029
32,"{'n_hidden': 5, 'n_neurons': 10}",60.513932815525195,34.641159653663635,32.65501767383157,23.87479374366526,72.36880987659357,59.42779214022249,21.529644419382265,18.736274444162845
33,"{'n_hidden': 5, 'n_neurons': 15}",57.973790637033474,31.9625561611993,33.3014789492079,24.63994299363068,70.37670785461606,57.09640227486275,23.525006081223644,19.948970363140106
34,"{'n_hidden': 5, 'n_neurons': 20}",56.85999477433413,30.74975358077458,33.93129957830841,26.060368363101684,69.46924319342058,56.471683943860846,24.904465348489936,21.664982908070087
35,"{'n_hidden': 5, 'n_neurons': 25}",56.28513566979091,30.11651447500501,34.006934954326184,26.70091771361888,67.71209506177526,55.03181078976193,25.708997761316034,22.60621832370758
36,"{'n_hidden': 5, 'n_neurons': 30}",55.61809915074802,29.406971117428366,33.04624965537974,24.659342916493078,69.04197022349113,55.72005130498112,23.684171718275323,20.17009990721941
37,"{'n_hidden': 5, 'n_neurons': 35}",55.11902317754747,28.838933045523508,33.76652976476779,26.173593805252438,67.42162565533584,54.870178922069655,25.45540774429859,22.02604048758745
38,"{'n_hidden': 5, 'n_neurons': 40}",54.6552780771619,28.457360155241837,34.68488789097546,26.91752513617089,66.61336606712288,53.409812595660235,27.121654771507004,23.088561714291572
39,"{'n_hidden': 5, 'n_neurons': 45}",54.47828652938082,28.228377955300466,32.970426100448115,23.974184427148604,69.36648435306147,55.5780615197094,23.424756334377292,19.406436566114426
40,"{'n_hidden': 6, 'n_neurons': 10}",60.68607967544831,34.94256022657667,32.418906545529275,23.540136178753436,71.81454678972848,58.78195564515809,21.38902812139762,18.446591958999633
41,"{'n_hidden': 6, 'n_neurons': 15}",58.97900529159123,32.93084984166281,32.58736956417665,23.66687601921212,71.28690556650942,57.70077187655062,21.930286603741134,18.74791450858116
42,"{'n_hidden': 6, 'n_neurons': 20}",56.89474597744655,30.798285337856836,32.62583453729732,23.624898862660903,71.38147802907969,58.1099143449773,21.951272227327884,18.640736468732356
43,"{'n_hidden': 6, 'n_neurons': 25}",56.44568502333202,30.340122784887036,33.86344422463354,25.619181848777796,68.21782543761196,55.335230109120964,25.295663634370705,21.324284248650073
44,"{'n_hidden': 6, 'n_neurons': 30}",55.71700485133596,29.57927232469831,32.412059690368345,22.72960779787448,71.79524783567534,58.196364973309485,21.386515637223866,17.603553049862384
45,"{'n_hidden': 6, 'n_neurons': 35}",54.941403825827734,28.664920319829665,34.33012168728794,25.476193031907847,68.29504227005721,54.4856035164333,25.976356601289403,21.283426672816276
46,"{'n_hidden': 6, 'n_neurons': 40}",54.556502170715696,28.344124460220335,32.894438880092075,23.00524061709251,70.77206636558408,56.746246985754055,22.683071626435385,18.128610790371894
47,"{'n_hidden': 6, 'n_neurons': 45}",54.290050689623016,28.002875665255953,33.002532759131384,23.182759969455343,71.03014673338645,57.16154689106709,22.746098206948915,18.271763422191142
