Imbalance Prices (B1770)
Time Series ID,Business Type,Settlement Date,Settlement Period,Imbalance Price Amount (GBP),Price Category
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,48,43.8,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,48,43.8,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,47,43.8,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,47,43.8,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,46,43.9,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,46,43.9,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,45,44.5,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,45,44.5,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,44,44.72,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,44,44.72,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,43,44.5,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,43,44.5,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,42,45.5,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,42,45.5,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,41,46.7,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,41,46.7,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,40,46.95,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,40,46.95,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,39,49,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,39,49,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,38,49,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,38,49,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,37,49,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,37,49,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,36,46.7,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,36,46.7,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,35,46,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,35,46,Insufficient balance
ELX-EMFIP-IMBP-TS-2,Balance energy deviation,2020-03-01,34,42,Excess balance
ELX-EMFIP-IMBP-TS-1,Balance energy deviation,2020-03-01,34,42,Insufficient balance
