,Bids
2016010101,-85.0
2016010102,-60.37
2016010103,-60.37
2016010104,-60.75
2016010105,-60.75
2016010106,-85.0
2016010107,-60.75
2016010108,-60.37
2016010109,10.0
2016010110,14.0
2016010111,14.0
2016010112,10.0
2016010113,10.0
2016010114,10.0
2016010115,20.0
2016010116,6.0
2016010117,6.0
2016010118,6.0
2016010119,-85.0
2016010120,-85.0
2016010121,-85.0
2016010122,-85.0
2016010123,-85.0
2016010124,-85.0
2016010125,-85.0
2016010126,-85.0
2016010127,-0.2
2016010128,-40.0
2016010129,10.0
2016010130,10.0
2016010131,-85.0
2016010132,-85.0
2016010133,-85.0
2016010134,-85.0
2016010135,-85.0
2016010136,-85.0
2016010137,-85.0
2016010138,-85.0
2016010139,-115.0
2016010140,-115.0
2016010141,-115.0
2016010142,-115.0
2016010143,-115.0
2016010144,-115.0
2016010145,-115.0
2016010146,-115.0
2016010147,-115.0
2016010148,-115.0
2016010201,-115.0
2016010202,-115.0
2016010203,-115.0
2016010204,-115.0
2016010205,-115.0
2016010206,-115.0
2016010207,-100.0
2016010208,-85.0
2016010209,-85.0
2016010210,-85.0
2016010211,-85.0
2016010212,-85.0
2016010213,-85.0
2016010214,-85.0
2016010215,-85.0
2016010216,-85.0
2016010217,-85.0
2016010218,-85.0
2016010219,-85.0
2016010220,-85.0
2016010221,-85.0
2016010222,-72.0
2016010223,-58.86
2016010224,0.0
2016010225,27.1
2016010226,25.0
2016010227,26.55
2016010228,24.9
2016010229,24.9
2016010230,26.5
2016010231,26.5
2016010232,26.5
2016010233,0.0
2016010234,0.0
2016010235,0.0
2016010236,15.0
2016010237,15.0
2016010238,15.0
2016010239,15.0
2016010240,27.11
2016010241,25.0
2016010242,15.0
2016010243,20.0
2016010244,-58.86
2016010245,-72.0
2016010246,-72.0
2016010247,-72.0
2016010248,-72.0
2016010301,-72.0
2016010302,-72.0
2016010303,-72.0
2016010304,-72.0
2016010305,-85.0
2016010306,-85.0
2016010307,-85.0
2016010308,-85.0
2016010309,-141.26
2016010310,-140.0
2016010311,-150.0
2016010312,-85.0
2016010313,-85.0
2016010314,-85.0
2016010315,-85.0
2016010316,-85.0
2016010317,-115.0
2016010318,-115.0
2016010319,-115.0
2016010320,-115.0
2016010321,-115.0
2016010322,-97.0
2016010323,-97.0
2016010324,-85.0
2016010325,-85.0
2016010326,-85.0
2016010327,-85.0
2016010328,-85.0
2016010329,-85.0
2016010330,-82.0
2016010331,-72.0
2016010332,-85.0
2016010333,-85.0
2016010334,-72.0
2016010335,-72.0
2016010336,-72.0
2016010337,-72.0
2016010338,-72.0
2016010339,-72.0
2016010340,-72.0
2016010341,-58.86
2016010342,-72.0
2016010343,-85.0
2016010344,-85.0
2016010345,-85.0
2016010346,-85.0
2016010347,-100.0
2016010348,-100.0
2016010401,-100.0
2016010402,-100.0
2016010403,-100.0
2016010404,-100.0
2016010405,-100.0
2016010406,-100.0
2016010407,-100.0
2016010408,-100.0
2016010409,-100.0
2016010410,-100.0
2016010411,-100.0
2016010412,-100.0
2016010413,-150.0
2016010414,-100.0
2016010415,-100.0
2016010416,-100.0
2016010417,-85.0
2016010418,-85.0
2016010419,-85.0
2016010420,-85.0
2016010421,-82.0
2016010422,-82.0
2016010423,-82.0
2016010424,-82.0
2016010425,-82.0
2016010426,-82.0
2016010427,-82.0
2016010428,-82.0
2016010429,-72.0
2016010430,-72.0
2016010431,-72.0
2016010432,-72.0
2016010433,-72.0
2016010434,-72.0
2016010435,-72.0
2016010436,-72.0
2016010437,-72.0
2016010438,-72.0
2016010439,-72.0
2016010440,-72.0
2016010441,-72.0
2016010442,-72.0
2016010443,-72.0
2016010444,-72.0
2016010445,-72.0
2016010446,-75.0
2016010447,-100.0
2016010448,-100.0
2016010501,-115.0
2016010502,-115.0
2016010503,-115.0
2016010504,-115.0
2016010505,-115.0
2016010506,-115.0
2016010507,-100.0
2016010508,-85.0
2016010509,-85.0
2016010510,-85.0
2016010511,-85.0
2016010512,-115.0
2016010513,-150.0
2016010514,-115.0
2016010515,-115.0
2016010516,-97.0
2016010517,-63.92
2016010518,-60.75
2016010519,-60.37
2016010520,-60.37
2016010521,-60.37
2016010522,5.0
2016010523,0.0
2016010524,28.75
2016010525,0.0
2016010526,0.0
2016010527,30.94
2016010528,30.94
2016010529,30.94
2016010530,30.1
2016010531,27.5
2016010532,28.05
2016010533,27.5
2016010534,30.25
2016010535,28.05
2016010536,0.0
2016010537,0.0
2016010538,15.0
2016010539,15.0
2016010540,15.0
2016010541,28.05
2016010542,14.0
2016010543,-30.1
2016010544,10.0
2016010545,10.0
2016010546,10.0
2016010547,14.0
2016010548,14.0
2016010601,0.0
2016010602,0.0
2016010603,14.0
