,Offers
2016010101,59.0
2016010102,120.0
2016010103,160.0
2016010104,150.0
2016010105,140.0
2016010106,150.0
2016010107,160.0
2016010108,60.0
2016010109,59.0
2016010110,140.0
2016010111,140.0
2016010112,59.0
2016010113,128.0
2016010114,140.0
2016010115,160.0
2016010116,160.0
2016010117,59.0
2016010118,140.0
2016010119,139.0
2016010120,59.0
2016010121,59.0
2016010122,57.0
2016010123,55.0
2016010124,89.89
2016010125,139.0
2016010126,89.89
2016010127,56.48
2016010128,55.0
2016010129,56.23
2016010130,60.0
2016010131,128.0
2016010132,64.5
2016010133,64.5
2016010134,64.5
2016010135,140.0
2016010136,140.0
2016010137,64.5
2016010138,64.5
2016010139,160.0
2016010140,160.0
2016010141,160.0
2016010142,160.0
2016010143,160.0
2016010144,75.0
2016010145,75.0
2016010146,75.0
2016010147,160.0
2016010148,75.0
2016010201,75.0
2016010202,75.0
2016010203,75.0
2016010204,75.0
2016010205,140.0
2016010206,75.0
2016010207,75.0
2016010208,75.0
2016010209,75.0
2016010210,75.0
2016010211,75.0
2016010212,75.0
2016010213,75.0
2016010214,75.0
2016010215,150.0
2016010216,75.0
2016010217,75.0
2016010218,75.0
2016010219,75.0
2016010220,75.0
2016010221,75.0
2016010222,75.0
2016010223,75.0
2016010224,139.0
2016010225,140.0
2016010226,135.0
2016010227,139.0
2016010228,139.0
2016010229,140.0
2016010230,80.0
2016010231,80.0
2016010232,80.0
2016010233,80.0
2016010234,80.0
2016010235,80.0
2016010236,80.0
2016010237,160.0
2016010238,160.0
2016010239,170.0
2016010240,80.0
2016010241,80.0
2016010242,80.0
2016010243,75.0
2016010244,75.0
2016010245,139.0
2016010246,75.0
2016010247,140.0
2016010248,75.0
2016010301,75.0
2016010302,75.0
2016010303,150.0
2016010304,75.0
2016010305,75.0
2016010306,75.0
2016010307,75.0
2016010308,75.0
2016010309,75.0
2016010310,160.0
2016010311,75.0
2016010312,75.0
2016010313,180.0
2016010314,180.0
2016010315,75.0
2016010316,75.0
2016010317,75.0
2016010318,75.0
2016010319,150.0
2016010320,139.0
2016010321,155.0
2016010322,155.0
2016010323,75.0
2016010324,61.75
2016010325,155.0
2016010326,155.0
2016010327,160.0
2016010328,155.0
2016010329,110.0
2016010330,65.0
2016010331,82.25
2016010332,66.0
2016010333,70.0
2016010334,155.0
2016010335,160.0
2016010336,70.0
2016010337,139.0
2016010338,155.0
2016010339,139.0
2016010340,140.0
2016010341,140.0
2016010342,150.0
2016010343,150.0
2016010344,139.0
2016010345,139.0
2016010346,160.0
2016010347,140.0
2016010348,75.0
2016010401,75.0
2016010402,75.0
2016010403,150.0
2016010404,150.0
2016010405,75.0
2016010406,75.0
2016010407,75.0
2016010408,160.0
2016010409,75.0
2016010410,75.0
2016010411,75.0
2016010412,75.0
2016010413,160.0
2016010414,140.0
2016010415,9999.0
2016010416,140.0
2016010417,140.0
2016010418,139.0
2016010419,160.0
2016010420,140.0
2016010421,99.0
2016010422,99.0
2016010423,99.0
2016010424,99.0
2016010425,140.0
2016010426,140.0
2016010427,65.0
2016010428,140.0
2016010429,140.0
2016010430,140.0
2016010431,140.0
2016010432,139.0
2016010433,72.0
2016010434,155.0
2016010435,72.48
2016010436,72.0
2016010437,155.0
2016010438,72.0
2016010439,140.0
2016010440,140.0
2016010441,66.0
2016010442,160.0
2016010443,160.0
2016010444,160.0
2016010445,160.0
2016010446,160.0
2016010447,160.0
2016010448,140.0
2016010501,74.5
2016010502,160.0
2016010503,79.99
2016010504,79.99
2016010505,79.99
2016010506,79.99
2016010507,79.99
2016010508,79.99
2016010509,79.99
2016010510,79.99
2016010511,140.0
2016010512,60.0
2016010513,140.0
2016010514,185.0
2016010515,185.0
2016010516,185.0
2016010517,160.0
2016010518,160.0
2016010519,140.0
2016010520,155.0
2016010521,139.0
2016010522,140.0
2016010523,155.0
2016010524,155.0
2016010525,155.0
2016010526,140.0
2016010527,140.0
2016010528,140.0
2016010529,120.0
2016010530,120.0
2016010531,71.0
2016010532,120.0
2016010533,160.0
2016010534,160.0
2016010535,124.0
2016010536,160.0
2016010537,160.0
2016010538,124.0
2016010539,139.0
2016010540,139.0
2016010541,140.0
2016010542,160.0
2016010543,160.0
2016010544,120.0
2016010545,140.0
2016010546,140.0
2016010547,140.0
2016010548,120.0
2016010601,120.0
2016010602,80.0
2016010603,80.0
2016010604,80.0
2016010605,80.0
2016010606,80.0
2016010607,50.0
2016010608,51.0
2016010609,51.0
2016010610,51.0
2016010611,56.48
2016010612,140.0
2016010613,160.0
2016010614,140.0
2016010615,155.0
2016010616,155.0
2016010617,139.0
2016010618,130.0
2016010619,155.0
2016010620,155.0
2016010621,139.0
2016010622,139.0
