,dino_bin
201601011,0
201601012,0
201601013,1
201601014,0
201601015,1
201601016,1
201601017,1
201601018,0
201601019,0
2016010110,0
2016010111,0
2016010112,0
2016010113,0
2016010114,1
2016010115,0
2016010116,0
2016010117,0
2016010118,0
2016010119,0
2016010120,0
2016010121,0
2016010122,0
2016010123,0
2016010124,0
2016010125,0
2016010126,0
2016010127,0
2016010128,0
2016010129,0
2016010130,0
2016010131,0
2016010132,0
2016010133,0
2016010134,0
2016010135,0
2016010136,0
2016010137,0
2016010138,0
2016010139,1
2016010140,1
2016010141,1
2016010142,1
2016010143,1
2016010144,0
2016010145,0
2016010146,0
2016010147,1
2016010148,0
201601021,0
201601022,0
201601023,0
201601024,0
201601025,1
201601026,0
201601027,0
201601028,0
201601029,0
2016010210,0
2016010211,0
2016010212,0
2016010213,0
2016010214,0
2016010215,0
2016010216,0
2016010217,0
2016010218,0
2016010219,0
2016010220,0
2016010221,0
2016010222,0
2016010223,0
2016010224,0
2016010225,0
2016010226,0
2016010227,0
2016010228,0
2016010229,0
2016010230,0
2016010231,0
2016010232,0
2016010233,0
2016010234,0
2016010235,0
2016010236,0
2016010237,1
2016010238,1
2016010239,1
2016010240,0
2016010241,0
2016010242,0
2016010243,0
2016010244,0
2016010245,0
2016010246,0
2016010247,1
2016010248,0
201601031,0
201601032,0
201601033,0
201601034,0
201601035,0
201601036,0
201601037,0
201601038,0
201601039,0
2016010310,1
2016010311,0
2016010312,0
2016010313,1
2016010314,1
2016010315,0
2016010316,0
2016010317,0
2016010318,0
2016010319,0
2016010320,0
2016010321,1
2016010322,1
2016010323,0
2016010324,0
2016010325,1
2016010326,1
2016010327,1
2016010328,1
2016010329,0
2016010330,0
2016010331,0
2016010332,0
2016010333,0
2016010334,1
2016010335,1
2016010336,0
2016010337,0
2016010338,1
2016010339,0
2016010340,0
2016010341,0
2016010342,0
2016010343,0
2016010344,0
2016010345,0
2016010346,1
2016010347,1
2016010348,0
201601041,0
201601042,0
201601043,0
201601044,0
201601045,0
201601046,0
201601047,0
201601048,1
201601049,0
2016010410,0
2016010411,0
2016010412,0
2016010413,1
2016010414,0
2016010415,0
2016010416,0
2016010417,0
2016010418,0
2016010419,1
2016010420,0
2016010421,0
2016010422,0
2016010423,0
2016010424,0
2016010425,0
2016010426,0
2016010427,0
2016010428,0
2016010429,0
2016010430,0
2016010431,0
2016010432,0
2016010433,0
2016010434,1
2016010435,0
2016010436,0
2016010437,1
2016010438,0
2016010439,0
2016010440,0
2016010441,0
2016010442,1
2016010443,1
2016010444,1
2016010445,1
2016010446,1
2016010447,1
2016010448,1
201601051,0
201601052,1
201601053,0
201601054,0
201601055,0
201601056,0
201601057,0
201601058,0
201601059,0
2016010510,0
2016010511,1
2016010512,0
2016010513,1
2016010514,0
2016010515,0
2016010516,0
2016010517,0
2016010518,0
2016010519,0
2016010520,1
2016010521,0
2016010522,0
2016010523,1
2016010524,1
2016010525,1
2016010526,0
2016010527,0
2016010528,0
2016010529,0
2016010530,0
2016010531,0
2016010532,0
2016010533,1
2016010534,1
2016010535,0
2016010536,1
2016010537,1
2016010538,0
2016010539,0
2016010540,0
2016010541,0
2016010542,1
2016010543,1
2016010544,0
2016010545,0
2016010546,0
2016010547,0
2016010548,0
201601061,0
201601062,0
201601063,0
201601064,0
201601065,0
201601066,0
201601067,0
201601068,0
201601069,0
2016010610,0
2016010611,0
2016010612,1
2016010613,1
2016010614,0
2016010615,1
2016010616,1
2016010617,0
2016010618,0
2016010619,1
2016010620,1
2016010621,0
2016010622,0
2016010623,0
2016010624,0
2016010625,0
2016010626,0
2016010627,0
2016010628,0
2016010629,0
2016010630,0
2016010631,0
2016010632,0
2016010633,0
2016010634,0
2016010635,0
2016010636,0
2016010637,0
2016010638,0
2016010639,0
2016010640,0
2016010641,0
2016010642,0
2016010643,0
2016010644,0
2016010645,0
2016010646,0
2016010647,0
2016010648,0
201601071,1
201601072,0
201601073,0
201601074,0
201601075,0
201601076,0
201601077,0
201601078,0
201601079,0
2016010710,0
2016010711,0
2016010712,1
2016010713,0
2016010714,0
2016010715,0
2016010716,1
2016010717,0
2016010718,0
2016010719,0
2016010720,0
2016010721,0
2016010722,1
2016010723,1
2016010724,0
2016010725,0
2016010726,0
2016010727,0
2016010728,0
2016010729,0
2016010730,0
2016010731,0
2016010732,0
2016010733,0
2016010734,1
2016010735,0
2016010736,0
2016010737,0
2016010738,0
2016010739,0
2016010740,0
2016010741,0
2016010742,0
2016010743,0
2016010744,0
2016010745,0
2016010746,0
2016010747,1
2016010748,0
201601081,0
201601082,0
201601083,1
201601084,0
201601085,0
201601086,1
201601087,0
201601088,0
201601089,0
2016010810,0
2016010811,1
2016010812,0
2016010813,1
2016010814,0
2016010815,1
2016010816,1
2016010817,0
2016010818,0
2016010819,0
2016010820,0
2016010821,0
2016010822,0
2016010823,0
2016010824,0
2016010825,0
2016010826,0
2016010827,0
2016010828,0
2016010829,0
2016010830,0
2016010831,0
2016010832,0
2016010833,0
2016010834,0
2016010835,0
2016010836,0
2016010837,0
2016010838,0
2016010839,1
2016010840,1
2016010841,0
2016010842,0
2016010843,0
2016010844,0
2016010845,0
2016010846,0
2016010847,0
2016010848,0
201601091,0
201601092,0
201601093,1
201601094,1
201601095,1
201601096,0
201601097,0
201601098,0
201601099,0
2016010910,0
2016010911,0
2016010912,1
2016010913,0
2016010914,0
2016010915,0
2016010916,0
2016010917,0
2016010918,0
2016010919,0
2016010920,1
2016010921,0
2016010922,0
2016010923,0
2016010924,0
2016010925,0
2016010926,0
2016010927,0
2016010928,0
2016010929,0
2016010930,0
2016010931,0
2016010932,0
2016010933,0
2016010934,0
2016010935,0
2016010936,0
2016010937,0
2016010938,0
2016010939,0
2016010940,0
2016010941,0
2016010942,0
2016010943,0
2016010944,0
2016010945,0
2016010946,0
2016010947,0
2016010948,0
201601101,0
201601102,0
201601103,0
201601104,1
201601105,1
201601106,0
201601107,0
201601108,0
201601109,0
2016011010,0
2016011011,0
2016011012,0
2016011013,0
2016011014,0
2016011015,0
2016011016,0
2016011017,0
2016011018,0
2016011019,0
2016011020,0
2016011021,0
2016011022,0
2016011023,0
2016011024,0
2016011025,0
2016011026,0
2016011027,0
