,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
"(1, array(['PrevWeek'], dtype=object))",32.90538333654572,23.416163068230365,65.84327165882927,55.20380417464693,23.496403906656813,18.229756536832575
"(2, array(['PrevDay', 'PrevWeek'], dtype=object))",42.30993704657738,27.26679526423289,68.20875449837871,54.951765159000786,36.374755006212574,22.749771930525153
"(3, array(['TSDF', 'PrevDay', 'PrevWeek'], dtype=object))",44.469013172069765,25.41841300276521,65.02310569180139,54.46613800477898,40.128590177716205,20.67904541471735
"(4, array(['TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek'], dtype=object))",33.38029142893469,22.790270421568632,63.70399839087644,54.076433270609314,25.17764573241555,17.685684026900585
"(5, array(['APXP', 'TSDF', 'Im_Pr', 'PrevDay', 'DA_price_france'],
      dtype=object))",34.21273316190866,22.75740760884867,63.040991136619105,51.66678394086022,26.703410580933383,18.04061269853801
"(6, array(['APXP', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'DA_price_france'],
      dtype=object))",33.201030170729645,21.81705840045249,62.814189317103796,51.33873467741936,25.26655579658361,17.00036192017544
"(7, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",33.8844225835541,22.788649026143787,63.788367784677305,52.24166868817203,25.91528089956048,17.983154414619882
"(8, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",33.834491088314984,22.449854417797887,63.51007106065678,51.27026762186379,25.95089445058021,17.747574544152044
"(9, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france', 'DA_imb_France'], dtype=object))",34.41776609542441,22.891229380090493,62.981092199779305,51.131108487455194,27.030929161743657,18.283668227485375
"(10, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_margin', 'DA_price_france', 'DA_imb_France'], dtype=object))",35.81027715509586,23.68271524409251,61.847375043488086,49.53819819892474,29.45352836194649,19.464187147953215
"(11, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'DA_imb_France'],
      dtype=object))",35.54012460451321,23.88149531297134,62.56884146169539,51.17811031899642,28.8174343076148,19.427835145321634
"(12, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'DA_imb_France'], dtype=object))",36.36517979041028,23.985516047762697,61.8231638783831,49.21078919175626,30.242085087709537,19.869811657602337
"(13, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",36.95446439791022,23.655741646556056,62.05316045916233,49.01676013082438,30.986943971418906,19.517889332456136
