,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
24 ,46.23904301486426,32.09774672826836,87.49048254847537,58.07391343209667,31.28276691037528,26.638207041206844
22 ,46.00474462442754,30.8100831084901,89.22621937195011,58.02546256436156,30.070411821479865,25.165714005948047
20 ,46.13321035061041,30.329918364500475,91.4342378223115,59.145912451856795,29.21502823410374,24.435558153596215
18 ,45.78691188761003,29.570110778929088,91.40188605791329,57.76517972342255,27.812719400815567,23.60975610009928
16 ,47.49032776039706,31.626816786691766,93.99237624295037,57.26366078078651,30.496189682503307,26.462560408299268
14 ,48.41082722014743,30.844238189089467,97.80548249020543,58.220070054662145,30.00461881770277,25.37335426914123
12 ,53.13303737050872,32.01063330742651,105.97158397963359,59.07649888380816,35.697182067262844,27.02417428907511
10 ,48.7768117578412,30.073775977390145,86.26206378868143,57.19660289437516,37.73028276127662,24.95350120881153
8 ,32.76316650101273,25.043521030789496,65.64023125755747,53.108762409083404,22.62730291704962,20.173156669263754
6 ,34.52338247588876,27.11252204507674,70.96403588731073,58.64353990077396,24.72357521503146,22.350024556455804
4 ,32.670647242860205,26.35090599337346,63.688642563582675,52.55148543647206,24.849055047794472,22.40710149604841
2 ,31.145242547435185,23.008685263708653,62.71243569177112,50.73503081928397,21.792484923376257,18.37537022391755
