,index,Offer_vol,Bid_vol,Accepted_offer_vol,Accepted_bid_vol
0,201601011,51611.000,-47591.000,644.102,-1284.477
1,201601012,51532.500,-47712.500,742.345,-1072.067
2,201601013,51301.000,-47712.500,922.178,-1069.392
3,201601014,51301.000,-47712.500,668.939,-1038.479
4,201601015,51349.500,-47712.500,648.508,-946.425
5,201601016,51349.500,-47712.500,681.572,-907.407
6,201601017,51349.000,-47712.500,941.763,-862.825
7,201601018,51348.500,-47702.500,476.357,-700.309
8,201601019,51614.500,-47617.500,396.630,-574.361
9,2016010110,51614.000,-47468.000,336.299,-600.467
10,2016010111,50945.500,-47289.500,372.740,-748.342
11,2016010112,50945.500,-47319.500,320.138,-825.783
12,2016010113,51078.500,-47514.500,571.190,-689.973
13,2016010114,50973.500,-47649.500,689.170,-798.007
14,2016010115,50916.500,-47916.000,687.647,-714.157
15,2016010116,50510.000,-47922.500,695.708,-647.525
16,2016010117,50617.500,-47770.500,708.566,-913.451
17,2016010118,50622.500,-47765.000,815.249,-823.577
18,2016010119,50623.500,-48181.500,806.458,-906.278
19,2016010120,50514.500,-48171.500,708.388,-749.958
20,2016010121,49883.000,-48280.500,752.061,-737.600
21,2016010122,49685.000,-48280.000,777.793,-699.338
22,2016010123,49496.500,-48391.000,681.277,-684.927
23,2016010124,49273.000,-48509.000,864.577,-625.455
24,2016010125,49236.000,-48509.000,1091.158,-546.000
25,2016010126,49234.500,-48508.000,1305.526,-571.195
26,2016010127,49236.000,-48507.500,1145.899,-676.654
27,2016010128,49197.500,-48507.000,1014.304,-942.251
28,2016010129,49179.500,-48507.000,1036.309,-1075.829
29,2016010130,49139.500,-48507.500,1106.917,-1343.427
30,2016010131,49073.000,-48483.500,1178.734,-1414.444
31,2016010132,49030.500,-48479.000,1113.003,-1369.801
32,2016010133,48989.000,-48693.000,1176.557,-1359.337
33,2016010134,48761.500,-48832.000,1183.510,-1831.158
34,2016010135,48696.500,-48832.000,1250.917,-1668.418
35,2016010136,48728.000,-48832.000,1289.498,-1893.356
36,2016010137,48906.500,-48814.500,1280.000,-1731.948
37,2016010138,48910.500,-48786.500,1221.458,-1863.199
38,2016010139,49756.000,-48786.000,1095.542,-1298.734
39,2016010140,49796.000,-48536.500,1288.635,-1202.440
40,2016010141,49841.500,-48307.000,1219.867,-1332.558
41,2016010142,50809.500,-48304.000,1329.900,-1362.149
42,2016010143,51243.500,-48040.500,1738.396,-1418.182
43,2016010144,51337.000,-47991.000,1467.110,-1499.350
44,2016010145,51213.000,-47944.000,1364.007,-1626.473
45,2016010146,51251.500,-47944.000,1217.727,-1656.213
46,2016010147,51591.500,-47948.000,1368.119,-1514.704
47,2016010148,51591.500,-47933.500,1054.791,-1501.344
48,201601021,52071.000,-48068.500,987.519,-1624.909
49,201601022,51882.000,-48068.500,961.325,-1595.769
50,201601023,51883.000,-48068.000,1035.336,-1426.023
51,201601024,51883.000,-47938.000,876.159,-1535.945
52,201601025,52071.000,-47903.000,950.155,-1524.072
53,201601026,52071.000,-47901.500,864.707,-1389.457
54,201601027,52071.000,-47851.500,720.541,-1190.792
55,201601028,52071.000,-47856.500,554.855,-1250.921
56,201601029,51854.500,-47851.500,636.144,-1543.674
57,2016010210,51854.500,-47851.500,619.400,-1528.168
58,2016010211,51375.000,-47276.500,709.583,-1408.913
59,2016010212,51375.000,-47060.500,650.168,-1237.277
60,2016010213,51375.000,-47235.500,858.542,-1226.968
61,2016010214,51265.000,-47365.500,788.056,-1042.977
62,2016010215,51093.500,-47647.000,620.467,-1013.951
63,2016010216,50598.000,-47859.500,583.753,-1094.932
64,2016010217,50627.500,-47991.000,617.250,-959.519
65,2016010218,50594.500,-48071.500,674.684,-765.230
66,2016010219,50522.500,-47999.000,573.762,-1095.507
67,2016010220,49812.000,-48248.000,467.189,-1299.729
68,2016010221,49268.500,-48552.000,392.841,-990.079
69,2016010222,49233.500,-48599.000,365.483,-694.340
70,2016010223,49248.500,-48723.000,311.984,-725.022
71,2016010224,49196.500,-48731.000,186.648,-634.066
72,2016010225,49030.000,-48904.500,353.350,-414.560
73,2016010226,48855.000,-48853.500,237.250,-381.158
74,2016010227,48855.000,-48851.500,297.237,-313.208
75,2016010228,48854.500,-48856.000,386.117,-344.180
76,2016010229,48853.000,-48851.500,463.783,-423.311
77,2016010230,48853.000,-48835.500,579.900,-597.560
78,2016010231,48852.000,-48926.500,733.425,-720.347
79,2016010232,48620.500,-48964.000,707.515,-820.756
80,2016010233,48270.500,-49025.500,699.345,-678.242
81,2016010234,47812.500,-49229.000,805.100,-700.490
82,2016010235,47779.000,-49230.500,737.500,-287.896
83,2016010236,47775.500,-49234.000,737.500,-163.225
84,2016010237,47838.500,-49284.000,797.503,-300.625
85,2016010238,47837.500,-49283.000,852.108,-627.434
86,2016010239,48314.500,-49223.500,655.975,-365.849
87,2016010240,48476.500,-48922.000,492.875,-588.041
88,2016010241,48476.500,-48880.500,442.473,-764.674
89,2016010242,48997.000,-48867.000,344.000,-805.535
90,2016010243,49002.500,-48508.500,246.500,-721.372
91,2016010244,49178.000,-48571.000,280.577,-831.846
92,2016010245,49075.000,-48388.500,341.117,-893.534
93,2016010246,49492.000,-48388.500,184.583,-793.684
94,2016010247,49582.000,-48536.500,225.080,-703.384
95,2016010248,49778.000,-48426.500,329.542,-859.261
96,201601031,50619.000,-48917.500,439.649,-859.988
97,201601032,50620.500,-48916.500,434.134,-819.861
98,201601033,51049.000,-48916.500,623.891,-834.923
99,201601034,51123.500,-48916.000,580.000,-763.800
100,201601035,51123.500,-48916.000,555.131,-794.869
101,201601036,51401.500,-48915.500,555.900,-927.919
102,201601037,51621.000,-48597.500,559.029,-1009.116
103,201601038,51642.000,-48597.500,553.583,-1251.422
104,201601039,51690.000,-48570.500,608.813,-1466.894
105,2016010310,51737.000,-48302.000,612.617,-1644.998
106,2016010311,51255.500,-47829.500,666.608,-1417.264
107,2016010312,51256.000,-47829.500,542.527,-1354.346
108,2016010313,51241.000,-47912.000,1096.022,-1295.881
109,2016010314,51131.000,-47912.000,1183.436,-1310.517
110,2016010315,51220.500,-48033.500,1170.567,-1350.758
111,2016010316,51193.500,-47990.500,972.074,-1399.917
112,2016010317,51247.500,-47990.000,1140.451,-1355.576
113,2016010318,51252.000,-47989.500,1186.628,-1430.230
114,2016010319,51164.000,-48156.000,842.073,-1593.459
115,2016010320,50709.000,-48156.500,1064.247,-1308.941
116,2016010321,50207.000,-48620.000,1300.167,-1285.633
117,2016010322,49791.000,-48908.000,1399.031,-1215.469
118,2016010323,49478.000,-48896.500,1291.421,-1150.333
119,2016010324,49611.500,-49013.500,1220.492,-1032.168
120,2016010325,49409.500,-48778.000,1269.795,-966.417
121,2016010326,49447.000,-49043.500,1382.314,-895.042
122,2016010327,49302.000,-49042.000,1296.414,-857.767
123,2016010328,49435.500,-48979.000,1198.225,-814.364
124,2016010329,49098.000,-48835.500,1111.076,-707.734
125,2016010330,49395.000,-48788.000,1241.223,-640.867
126,2016010331,49320.500,-48878.500,918.010,-608.650
127,2016010332,48905.500,-48748.500,603.286,-747.411
128,2016010333,48643.500,-49408.500,603.768,-805.089
129,2016010334,48063.000,-49443.500,785.752,-933.488
130,2016010335,47980.000,-49570.000,1097.646,-833.151
131,2016010336,47977.500,-49575.000,1067.119,-788.427
132,2016010337,48074.000,-49557.000,783.842,-616.577
133,2016010338,48074.500,-49557.500,815.273,-596.579
134,2016010339,48587.500,-49471.000,875.014,-564.349
135,2016010340,48758.500,-49094.500,797.004,-485.409
136,2016010341,49148.000,-48984.000,710.970,-482.350
137,2016010342,49303.000,-48612.500,760.355,-459.507
138,2016010343,49755.500,-48538.500,722.901,-487.733
139,2016010344,49949.000,-48537.500,642.525,-580.858
140,2016010345,49997.500,-48429.000,742.037,-642.598
141,2016010346,50361.000,-48343.000,555.334,-649.213
142,2016010347,50460.500,-48059.500,475.065,-752.529
143,2016010348,50591.500,-48059.500,226.525,-835.997
144,201601041,51058.000,-48406.000,225.000,-854.233
145,201601042,51067.500,-48497.000,356.974,-836.991
146,201601043,50956.500,-48492.000,375.332,-852.196
147,201601044,50857.500,-48492.000,439.974,-887.699
148,201601045,50863.500,-48492.000,486.203,-823.196
149,201601046,50863.500,-48401.000,290.639,-836.606
150,201601047,51272.500,-48311.000,349.565,-799.298
151,201601048,51283.500,-48311.000,291.498,-824.396
152,201601049,51397.500,-48312.000,294.658,-955.550
153,2016010410,51324.500,-48236.000,360.856,-1017.876
154,2016010411,50663.000,-47705.000,344.292,-980.023
155,2016010412,50648.000,-47705.000,313.618,-1134.725
156,2016010413,50640.500,-48077.000,577.094,-1106.745
157,2016010414,50324.000,-48285.500,960.496,-1035.560
158,2016010415,49506.500,-48989.000,672.045,-1153.528
159,2016010416,48322.500,-49128.000,399.243,-1017.998
160,2016010417,47545.000,-49136.500,278.781,-898.495
161,2016010418,47188.000,-49289.500,354.243,-996.600
162,2016010419,46901.500,-49307.500,386.802,-1030.136
163,2016010420,46803.500,-49415.500,315.127,-966.900
164,2016010421,46830.500,-49364.000,436.665,-922.658
165,2016010422,46794.000,-49405.500,484.520,-908.492
166,2016010423,46708.500,-49404.000,419.142,-866.375
167,2016010424,46698.000,-49408.000,564.857,-813.401
168,2016010425,46813.000,-49133.000,610.942,-769.059
169,2016010426,46986.500,-48562.000,515.673,-690.773
170,2016010427,46848.500,-48562.000,411.000,-669.783
171,2016010428,46827.500,-48528.000,485.536,-602.134
172,2016010429,46828.500,-48489.500,471.798,-514.383
173,2016010430,47136.500,-48594.000,627.075,-489.633
174,2016010431,47102.000,-48945.000,533.325,-568.333
175,2016010432,46820.500,-49089.500,318.994,-621.664
176,2016010433,46569.000,-49123.000,509.192,-654.305
177,2016010434,46221.000,-49313.000,549.523,-735.445
178,2016010435,46020.000,-49333.500,390.850,-1012.190
179,2016010436,46111.500,-49334.500,368.500,-1058.303
180,2016010437,46199.500,-49261.000,520.754,-1063.033
181,2016010438,46635.000,-49227.500,646.417,-968.775
182,2016010439,47318.000,-49120.500,900.703,-842.077
183,2016010440,47469.000,-48762.500,895.169,-700.847
184,2016010441,47557.500,-48763.000,888.096,-755.057
185,2016010442,47725.000,-48835.000,820.079,-831.420
186,2016010443,48243.000,-48538.500,892.488,-812.217
187,2016010444,48353.500,-48572.500,939.326,-1106.023
188,2016010445,48390.500,-48528.000,1095.974,-1154.710
189,2016010446,48680.000,-48415.500,1222.824,-1314.759
190,2016010447,49229.500,-48092.000,1286.912,-1295.973
191,2016010448,49389.000,-48081.500,1018.399,-1426.267
192,201601051,49956.000,-48226.000,1061.301,-1434.506
193,201601052,50139.500,-48201.500,1178.506,-1457.737
194,201601053,49918.500,-48200.500,1455.022,-1464.740
195,201601054,49918.500,-48200.500,1378.547,-1435.060
196,201601055,50084.000,-48073.000,1363.561,-1457.122
197,201601056,50014.000,-47898.500,1218.314,-1387.012
198,201601057,50235.000,-47898.500,1097.527,-1287.887
199,201601058,50272.500,-47898.500,967.063,-1321.688
200,201601059,50447.500,-47770.500,922.209,-1329.226
201,2016010510,50447.500,-47770.500,809.857,-1225.117
202,2016010511,49864.500,-47307.000,807.704,-1306.402
203,2016010512,49803.000,-47482.500,822.877,-1377.428
204,2016010513,48865.000,-47959.500,709.113,-1384.884
205,2016010514,48518.500,-48225.000,857.055,-1285.072
206,2016010515,48161.000,-48502.000,870.860,-1434.882
207,2016010516,47563.000,-48676.500,838.541,-1139.106
208,2016010517,47471.000,-48766.000,958.181,-883.304
209,2016010518,47112.000,-48745.000,598.907,-723.592
210,2016010519,47112.000,-48777.000,647.639,-626.375
211,2016010520,47016.500,-48887.500,690.293,-599.015
212,2016010521,46945.500,-48868.500,570.840,-541.979
213,2016010522,46946.500,-48868.000,560.905,-485.075
214,2016010523,46948.000,-48868.000,370.170,-532.525
215,2016010524,46975.000,-48871.500,712.213,-403.192
216,2016010525,46976.000,-49073.500,768.501,-289.292
217,2016010526,46978.000,-49072.500,659.124,-256.250
218,2016010527,46978.500,-49071.000,717.221,-250.000
219,2016010528,46893.000,-49103.500,719.104,-250.000
220,2016010529,46893.500,-49181.500,680.475,-248.958
221,2016010530,46816.500,-49105.000,527.489,-203.375
222,2016010531,46653.500,-49038.000,274.212,-245.965
223,2016010532,46587.500,-49088.500,329.622,-170.177
224,2016010533,46259.500,-49528.000,312.769,-175.038
225,2016010534,45944.500,-49693.500,238.283,-64.455
226,2016010535,45612.000,-49718.500,218.613,-74.375
227,2016010536,45706.500,-49719.000,185.629,-164.570
228,2016010537,45771.000,-49770.500,290.042,-11.601
229,2016010538,45764.500,-49864.000,115.117,-138.656
230,2016010539,46132.000,-49774.000,243.953,-447.060
231,2016010540,46218.500,-49486.500,516.384,-349.286
232,2016010541,46389.500,-49331.500,692.396,-360.624
233,2016010542,46532.000,-49202.000,355.015,-387.038
234,2016010543,47042.500,-48982.500,251.388,-238.505
235,2016010544,47229.000,-48653.500,261.361,-406.855
236,2016010545,47895.000,-48541.500,482.756,-785.764
237,2016010546,48021.500,-48362.000,460.374,-900.569
238,2016010547,49218.000,-47904.000,446.357,-435.474
239,2016010548,49241.000,-47884.500,253.101,-536.338
240,201601061,49901.000,-48179.000,370.520,-350.062
241,201601062,49767.500,-48179.000,350.694,-336.488
242,201601063,49615.000,-48179.000,426.733,-335.000
243,201601064,49767.500,-48069.000,350.036,-352.894
244,201601065,49936.500,-48031.000,308.070,-335.993
245,201601066,49937.000,-48031.000,289.970,-341.655
246,201601067,49966.000,-47888.500,94.999,-430.179
247,201601068,50017.000,-47892.000,60.667,-519.533
248,201601069,49907.500,-47931.000,63.915,-458.220
249,2016010610,49915.500,-47938.500,25.208,-475.770
250,2016010611,49446.000,-47376.500,214.375,-532.083
251,2016010612,49444.000,-47377.500,294.986,-801.112
252,2016010613,49063.500,-47783.500,288.601,-878.428
253,2016010614,48309.000,-48099.000,415.722,-556.392
254,2016010615,47391.500,-48284.500,296.077,-680.208
255,2016010616,46402.500,-48493.000,414.358,-488.200
256,2016010617,46092.000,-48403.000,389.310,-354.358
257,2016010618,46097.500,-48392.000,272.257,-344.833
258,2016010619,46098.500,-48387.000,403.667,-516.408
259,2016010620,46102.000,-48385.500,282.667,-526.833
260,2016010621,45995.000,-48376.000,242.959,-528.607
261,2016010622,45954.500,-48490.500,198.333,-668.067
262,2016010623,45950.000,-48478.000,250.500,-756.408
263,2016010624,45950.000,-48442.500,303.500,-811.423
264,2016010625,45926.000,-48446.500,305.000,-707.577
265,2016010626,45926.000,-48445.500,305.000,-673.858
266,2016010627,46138.500,-48441.500,305.000,-597.508
267,2016010628,46142.000,-48442.500,311.168,-557.300
268,2016010629,46143.500,-48442.000,432.790,-598.746
269,2016010630,46397.000,-48586.500,516.027,-484.058
270,2016010631,46333.000,-49073.500,384.581,-385.743
271,2016010632,45843.000,-49898.000,374.855,-458.698
272,2016010633,45517.500,-50014.000,542.672,-606.724
273,2016010634,45456.500,-50095.500,650.959,-683.483
274,2016010635,45410.500,-50096.000,646.417,-921.471
275,2016010636,45412.500,-50095.500,650.417,-1126.451
276,2016010637,45519.500,-50107.000,655.750,-1066.277
277,2016010638,45925.000,-49726.500,721.247,-1302.520
278,2016010639,46521.500,-49770.000,861.993,-1106.205
279,2016010640,46596.500,-49377.000,625.192,-820.448
280,2016010641,46877.500,-49256.000,699.929,-741.442
281,2016010642,47071.000,-49255.000,715.995,-876.849
282,2016010643,47190.000,-49149.500,953.390,-1086.752
283,2016010644,47596.000,-48988.500,1066.947,-1203.118
284,2016010645,48761.500,-48858.000,1094.722,-1310.874
285,2016010646,49376.500,-48328.000,1174.508,-1439.967
286,2016010647,49814.000,-48460.000,1213.122,-1474.291
287,2016010648,49997.000,-48460.000,1132.306,-1558.530
288,201601071,50249.500,-48820.000,1293.830,-1555.773
289,201601072,49986.500,-48795.000,1126.061,-1373.804
290,201601073,49781.000,-48694.500,1051.875,-1452.250
291,201601074,50095.500,-48761.500,1014.583,-1560.117
292,201601075,50497.500,-48581.000,1118.833,-1560.238
293,201601076,50792.500,-48460.500,1206.827,-1426.731
294,201601077,50855.000,-48244.500,1259.018,-1351.933
295,201601078,50855.000,-48279.500,1056.731,-1370.508
296,201601079,50854.500,-48194.500,682.643,-1080.973
297,2016010710,50854.500,-48194.500,779.215,-1191.742
298,2016010711,50356.500,-47697.500,918.015,-1352.272
299,2016010712,50026.500,-47697.500,1072.615,-1481.137
300,2016010713,49898.500,-48079.000,1204.027,-1453.317
301,2016010714,49426.500,-48311.000,1151.507,-1310.733
302,2016010715,48486.500,-48478.000,1011.323,-1365.090
303,2016010716,47420.000,-48544.000,980.185,-1156.663
304,2016010717,46891.500,-48594.000,923.937,-983.054
305,2016010718,46903.500,-48546.000,803.925,-862.521
306,2016010719,46867.500,-48800.500,677.125,-706.158
307,2016010720,46810.000,-48810.000,831.888,-566.341
308,2016010721,46745.500,-48754.500,1187.679,-476.545
309,2016010722,46744.000,-48754.000,1117.833,-430.556
310,2016010723,46824.500,-48636.000,1568.106,-360.667
311,2016010724,46774.000,-48727.000,1408.559,-327.853
312,2016010725,46760.500,-48742.500,1303.125,-332.867
313,2016010726,46758.000,-48739.000,1159.837,-299.468
314,2016010727,46796.000,-48692.000,987.910,-291.045
315,2016010728,46767.500,-48718.500,991.486,-647.605
316,2016010729,46755.000,-48750.000,969.759,-1018.797
317,2016010730,46747.000,-48757.000,960.871,-1174.443
318,2016010731,46486.000,-48696.000,744.910,-1399.008
319,2016010732,46193.000,-48836.500,794.818,-1658.946
320,2016010733,46055.500,-48977.500,863.803,-1344.231
321,2016010734,46042.000,-49154.500,955.177,-581.739
322,2016010735,45986.500,-49380.500,958.913,-589.955
323,2016010736,45929.500,-49422.000,880.342,-733.038
324,2016010737,45952.000,-49476.000,857.000,-714.655
325,2016010738,46106.500,-49425.000,856.896,-926.236
326,2016010739,46728.500,-49284.500,827.246,-988.377
327,2016010740,46929.000,-48979.500,930.346,-941.262
328,2016010741,47027.500,-49033.500,1000.749,-942.769
329,2016010742,46944.000,-48866.500,746.024,-926.320
330,2016010743,47174.000,-48778.000,694.333,-878.537
331,2016010744,47565.500,-48522.000,449.883,-640.713
332,2016010745,47556.000,-48305.000,84.825,-563.648
333,2016010746,48537.000,-48374.500,51.351,-538.156
334,2016010747,49062.500,-48238.000,18.000,-593.576
335,2016010748,49073.500,-48186.000,50.000,-346.950
336,201601081,49566.500,-48521.000,100.000,-114.985
337,201601082,49566.500,-48606.000,195.950,-109.258
338,201601083,49390.500,-48781.500,504.849,-10.667
339,201601084,49430.000,-48741.500,353.820,0.000
340,201601085,49567.500,-48606.000,277.133,0.000
341,201601086,49519.500,-48606.000,213.620,-1.467
342,201601087,49599.000,-48606.000,119.783,-83.200
343,201601088,49686.000,-48481.500,245.142,-100.642
344,201601089,49738.000,-48431.500,384.476,-99.542
345,2016010810,49738.500,-48606.000,296.621,-73.950
346,2016010811,48999.500,-48298.500,249.965,-0.010
347,2016010812,48990.000,-48325.500,175.128,-0.008
348,2016010813,48933.000,-48379.000,202.367,-0.001
349,2016010814,48244.500,-48537.000,190.100,-116.058
350,2016010815,46723.000,-48835.500,512.815,-121.044
351,2016010816,46583.000,-49062.000,907.645,-0.046
352,2016010817,46489.500,-49068.500,833.958,-19.750
353,2016010818,46313.500,-49164.500,550.967,-51.717
354,2016010819,46317.000,-49194.500,530.783,-31.452
355,2016010820,46289.500,-49228.500,425.958,-247.941
356,2016010821,46080.000,-49416.500,409.625,-547.800
357,2016010822,46081.000,-49413.500,410.000,-668.795
358,2016010823,46106.500,-49391.000,410.000,-784.255
359,2016010824,46208.000,-49368.500,442.714,-911.855
360,2016010825,46148.000,-49547.500,410.181,-713.079
361,2016010826,45999.000,-49413.000,410.011,-1124.460
362,2016010827,46157.000,-49403.000,410.000,-998.047
363,2016010828,46156.500,-49252.000,427.758,-920.355
364,2016010829,46313.000,-49251.500,360.208,-735.009
365,2016010830,46730.500,-49013.500,311.525,-544.841
366,2016010831,46729.500,-49314.500,187.167,-394.780
367,2016010832,46600.500,-49500.500,146.834,-435.873
368,2016010833,46078.000,-49737.500,226.340,-828.967
369,2016010834,45958.000,-49863.500,303.500,-339.517
370,2016010835,45876.500,-49886.500,234.583,-464.223
371,2016010836,45873.500,-49899.000,239.750,-586.537
372,2016010837,45869.500,-49900.500,284.500,-445.047
373,2016010838,45871.500,-49905.000,339.487,-577.847
374,2016010839,46265.000,-49864.000,402.004,-500.618
375,2016010840,46434.500,-49478.500,375.219,-391.538
376,2016010841,46936.500,-49491.000,377.315,-391.499
377,2016010842,47287.500,-49468.000,407.100,-578.074
378,2016010843,47454.000,-49101.000,386.828,-482.088
379,2016010844,47881.500,-48898.500,215.831,-292.599
380,2016010845,48666.000,-48892.000,193.268,-310.108
381,2016010846,49121.000,-48892.000,334.730,-489.014
382,2016010847,49794.000,-48467.000,608.892,-687.196
383,2016010848,50031.500,-48448.000,773.483,-662.133
384,201601091,50379.500,-48705.000,782.650,-567.707
385,201601092,50379.500,-48705.000,701.430,-387.613
386,201601093,50382.000,-48705.500,583.467,-311.317
387,201601094,50379.000,-48705.500,526.531,-517.629
388,201601095,50444.000,-48706.000,522.467,-406.758
389,201601096,50444.000,-48706.000,414.000,-314.417
390,201601097,50444.000,-48706.000,414.000,-575.336
391,201601098,50663.500,-48706.000,414.000,-677.744
392,201601099,50981.000,-48509.000,414.000,-581.093
393,2016010910,50981.000,-48455.000,414.000,-663.927
394,2016010911,50533.500,-48102.500,414.000,-767.975
395,2016010912,50535.000,-48111.000,443.891,-702.937
396,2016010913,50339.000,-48256.000,414.008,-744.172
397,2016010914,50228.500,-48247.500,312.167,-702.753
