,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
24 ,68.9814456918917,28.424751278004944,110.15296921347608,65.26196241381419,58.30667609332301,21.638074541722972
22 ,67.31641610288014,28.774527917787662,85.32584533966302,62.60176495519481,63.327673428138546,22.362174860475136
20 ,70.60436674079736,29.043553230484754,84.12766765114417,60.427843112106025,67.74809295586394,23.116540422754326
18 ,57.35592648562997,28.523577982043502,86.66187681345782,62.443212190960914,50.13804113931245,22.288050914895205
16 ,49.819967549844264,25.578025389823257,68.66268193967821,55.21570999134616,45.754804481014055,20.420194267737614
14 ,47.437893454118836,25.631747374022165,71.85743454413888,57.85122393191965,41.859638384314195,20.122461916793892
12 ,63.21200258224223,27.45130314163498,75.91289126176261,61.88889264152299,61.04336152748804,22.199645408961437
10 ,74.2525955338001,28.91227750049153,75.14759722104085,61.34409291346154,74.11821144653753,24.076249967587763
8 ,34.88045221507509,23.175103821347676,74.06347334446316,60.10496830258621,23.896561822368177,17.589882074511085
6 ,34.62853179183541,24.899112362933632,60.68814614300709,48.95615827173912,28.265249235086582,21.02301950197023
4 ,38.470774934554186,27.99506462840909,62.06295407220509,50.96938811111111,32.918838638192554,24.15585195092838
2 ,40.175483252052715,28.419457634090907,74.75225935103596,63.945479905,33.235575921955196,23.864837342948718
