,Features,Coefficients,abs coeff
1,APXP,0.1206503970923429,0.1206503970923429
3,TSDF,0.10889167173003426,0.10889167173003426
4,Im_Pr,0.10554547691124816,0.10554547691124816
12,ratio_offers_vol,0.09722094575234817,0.09722094575234817
7,PrevDay,0.0850279254809988,0.0850279254809988
9,DA_margin,0.07902748945434994,0.07902748945434994
10,DA_price_france,0.07460093397883388,0.07460093397883388
2,Rene,0.0658221055843064,0.0658221055843064
5,In_gen,0.06567681225876486,0.06567681225876486
13,DA_imb_France,0.0632459708012025,0.0632459708012025
8,PrevWeek,0.06229952140637995,0.06229952140637995
0,Ren_R,0.05984408925008027,0.05984408925008027
11,dino_bin,0.01068944802275582,0.01068944802275582
6,LOLP,0.0014572122763541106,0.0014572122763541106
