,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
"(1, array(['PrevDay'], dtype=object))",33.0903144572453,23.60170058040832,65.78900271804946,55.17016083438884,23.82105074936313,18.45105513546061
"(2, array(['PrevDay', 'PrevWeek'], dtype=object))",41.24343219126619,26.857728166474548,68.13334307728323,54.658249808105815,34.944975174860836,22.32185165301541
"(3, array(['TSDF', 'Im_Pr', 'PrevDay'], dtype=object))",34.120810868657614,22.926400173202612,62.29118493688819,50.254970200716855,26.853280443046305,18.467526291520464
"(4, array(['TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek'], dtype=object))",33.2910972394826,22.412333617982235,63.12021254088073,53.196841012544795,25.27996827588448,17.3895962711501
"(5, array(['APXP', 'TSDF', 'PrevDay', 'PrevWeek', 'DA_price_france'],
      dtype=object))",35.07034420808414,23.536077038461535,64.89117547365723,53.26356806810036,27.268395653653464,18.685800256432746
"(6, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek'],
      dtype=object))",33.39728382593601,22.202537868275517,63.90279426874861,53.36083396594983,25.121598681375676,17.11881394356725
"(7, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",34.38259119693787,22.715529234288585,64.20120285042809,52.11992621326164,26.50543253778794,17.91796779736842
"(8, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",34.00113719040358,22.16590595324283,63.769916708067754,51.96560893369176,26.09984149864593,17.303847221345027
"(9, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france', 'DA_imb_France'], dtype=object))",33.49995536006826,22.469227933886373,62.61460792360859,50.683637378136204,25.800677312149453,17.865822357894732
"(10, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_margin', 'DA_price_france', 'DA_imb_France'], dtype=object))",35.66924177113987,23.951221979386627,61.53059742682175,49.13839880107527,29.362580958686877,19.84173330497076
"(11, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'DA_imb_France'],
      dtype=object))",35.05456070766251,23.443372590749117,61.46272269579791,49.23046285663082,28.51241350275488,19.236003301754387
"(12, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'DA_imb_France'], dtype=object))",38.53589110045139,24.214714863499243,62.66678928440242,49.85697453763442,32.96307931638373,20.03097582894737
"(13, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",37.03984095276156,23.883087057315233,61.7003763694501,49.47174604301076,31.219577704355476,19.70809339824561
"(14, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'LOLP',
       'PrevDay', 'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",36.82488026220606,23.958300904474612,63.067993734612195,50.40628689247312,30.468883740049996,19.64310126081871
