,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
PrevDay,30.696845284570795,21.20246112949341,43.34695000164024,31.77631088920262,28.307360297148392,19.610847618542415
APXP,30.50460536582427,21.72565837734253,41.61928880194615,31.255649958071505,28.458146583177605,20.291170115845365
LOLP,30.107351841257447,20.39840949916731,41.7286474133194,30.49156689187755,27.942645642235746,18.879151514662496
In_gen,30.306693456879856,21.150327662618764,41.584791199901645,30.78900228749151,28.221468556182575,19.699480042382685
Ren_R,30.622577825408435,21.306358901231093,41.049450225237486,30.490660586149797,28.72723001891107,19.923905113579714
DA_imb_France,30.35413421557688,21.408195469219393,41.761301822617156,31.137042660920518,28.240889438017213,19.943774753191082
Rene,30.703063793518535,21.991988831607962,41.50766963939505,31.20927173116933,28.726962305280075,20.60457059410854
ratio_offers_vol,30.838311875906573,21.150906602601278,42.463426007017745,30.142100949494736,28.683343108231313,19.797520018972026
DA_price_france,30.42252151567417,20.860847811302907,41.86025411734072,30.49817719832711,28.303432698249804,19.410202681057115
TSDF,30.680107664739733,22.060244823538266,41.28138983981269,31.06841705322266,28.747816776609657,20.704302668546507
dino_bin,30.36950835822481,20.71325509966437,42.19212629104488,31.035415012525476,28.163409233645154,19.159526840529516
DA_margin,30.38007965124306,21.261737506332658,42.279203106799535,31.06466498333475,28.156869723759904,19.786165962019517
Im_Pr,30.196929403164777,20.817822947496712,41.69903750577191,30.92365446671196,28.060262062593726,19.29665720834782
