,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
PrevDay,31.047643817882363,22.42919908820837,43.03046271108359,32.25761097783628,28.815651313814417,20.949791539376942
APXP,30.53336718046399,21.65210733389827,41.344390776788984,30.85357907502548,28.55378865802329,20.267069048257397
LOLP,30.510433769593632,21.5815930064682,41.40498960786559,30.87649286684783,28.512337278095455,20.18249158769378
In_gen,30.327196096220856,20.9496992886731,41.39281114602179,30.49487373683764,28.28921019296181,19.512925647915345
Ren_R,30.680540767564388,21.429647451841248,40.98854383702492,30.61027695365574,28.811352313683507,20.04774641426446
DA_imb_France,30.48980140193071,21.158544112586323,41.36105867081905,30.56572931704314,28.496537581160858,19.742541104062063
Rene,30.544998079627316,21.188554756937037,41.12735225881343,30.28298236349355,28.615214093865756,19.81962913553128
ratio_offers_vol,30.944792607869758,21.206969780515077,42.21615877528509,29.874368843410327,28.8696184330075,19.90232201581226
DA_price_france,30.95964750554871,21.34816008479929,41.66623376642358,30.272692101520043,29.007867498472358,20.00480775243949
TSDF,30.632255227671322,21.56465234819397,41.360934144506714,30.79082246199898,28.67179615524437,20.175896375566253
dino_bin,30.458411772944306,20.909094140722214,41.29167491417022,30.282564073645553,28.47305314616746,19.4981660749026
DA_margin,30.64828963321525,21.417627180184112,41.961820088789516,30.713354386039406,28.55986802799367,20.018401226423173
Im_Pr,30.382415392320578,20.927099659369667,41.07336854783514,30.59837841531505,28.427128516116106,19.471344349246998
