,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
"(1, array(['PrevDay'], dtype=object))",29.81696624421071,20.507155544268603,44.28478101183641,32.45935104986705,26.581347061879256,18.47273928799653
"(2, array(['APXP', 'PrevDay'], dtype=object))",30.279556103209753,21.775396210638135,42.088129312429736,31.72266705006047,27.773992291599537,20.082243727332205
"(3, array(['APXP', 'LOLP', 'PrevDay'], dtype=object))",30.205667926198714,21.679764055167603,42.12664105025875,31.71093219789352,27.66970827315464,19.97233117981
"(4, array(['APXP', 'In_gen', 'LOLP', 'PrevDay'], dtype=object))",29.875542678784118,20.923722751305576,42.00596860744937,30.820048577864945,27.27875472143409,19.239241759550787
"(5, array(['Ren_R', 'APXP', 'In_gen', 'LOLP', 'PrevDay'], dtype=object))",29.844398791699934,20.12155292119282,41.71458816797623,29.476245753190664,27.31494514539155,18.529264779576163
"(6, array(['Ren_R', 'APXP', 'In_gen', 'LOLP', 'PrevDay', 'DA_imb_France'],
      dtype=object))",29.276388856236945,19.114254439599872,41.2033429986616,28.782255100494403,26.721239520581257,17.468637305830587
"(7, array(['Ren_R', 'APXP', 'Rene', 'In_gen', 'LOLP', 'PrevDay',
       'DA_imb_France'], dtype=object))",29.672696044207264,20.40011253633899,41.04993463121199,29.970561936874223,27.267396131191934,18.7710998724181
"(8, array(['Ren_R', 'APXP', 'Rene', 'In_gen', 'LOLP', 'PrevDay',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",29.791036299921753,20.607496770079084,41.3469983430808,30.111907655292676,27.34189647518879,18.98972470451082
"(9, array(['Ren_R', 'APXP', 'Rene', 'In_gen', 'LOLP', 'PrevDay',
       'DA_price_france', 'ratio_offers_vol', 'DA_imb_France'],
      dtype=object))",29.681842501158194,20.366313749703195,41.41698180270407,29.955386952489018,27.18444350638317,18.73413107688859
"(10, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'DA_price_france', 'ratio_offers_vol', 'DA_imb_France'],
      dtype=object))",29.86872607586716,20.93074811444594,41.36401831205185,30.390848221783354,27.43653712772836,19.320518308941704
"(11, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'DA_price_france', 'dino_bin', 'ratio_offers_vol', 'DA_imb_France'],
      dtype=object))",29.773532441377156,21.17336526236431,41.179714770191595,30.323919254489482,27.36254879709145,19.61582415732173
"(12, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'DA_margin', 'DA_price_france', 'dino_bin', 'ratio_offers_vol',
       'DA_imb_France'], dtype=object))",29.909313368196084,21.42309068335748,41.183816074602596,30.504867681878473,27.534246678396418,19.877256300630503
"(13, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'LOLP',
       'PrevDay', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",29.886090223591996,21.3965341528502,41.163701977007975,30.495543940265883,27.5098467876976,19.847766529460294
