,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
"(1, array(['PrevDay'], dtype=object))",33.114832806856484,23.70042511467414,48.125600907064765,35.82903961831344,29.960369035496413,21.721543976361062
"(2, array(['PrevDay', 'PrevWeek'], dtype=object))",42.0019839394082,27.325052140287728,52.47166113907947,36.563991508843415,40.03480033926476,25.817644313488287
"(3, array(['TSDF', 'PrevDay', 'PrevWeek'], dtype=object))",44.79985691102394,25.21431225207391,46.63912258477992,34.4533668655914,44.49254378542699,23.706885622149123
"(4, array(['TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek'], dtype=object))",33.30259325251366,22.56538339146556,45.14364305153009,34.63694564919355,30.94361368164389,20.595810777485376
"(5, array(['TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek', 'DA_price_france'],
      dtype=object))",34.24853532056353,22.625338038084465,47.752736998862105,36.04748669623656,31.500585754197836,20.435406590350876
"(6, array(['APXP', 'TSDF', 'Im_Pr', 'PrevDay', 'PrevWeek', 'DA_price_france'],
      dtype=object))",33.48443917335626,22.12042589668175,45.86616923064267,34.402410232526876,30.998466675229825,20.11652125942982
"(7, array(['APXP', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",33.14191087345443,21.26286441628959,44.70429559720971,32.46871529704301,30.846869680566286,19.434539448026314
"(8, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france'], dtype=object))",34.038756310216904,22.728282658748114,46.205945366437064,34.34627006586021,31.612289750536327,20.8327143625
"(9, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_price_france', 'DA_imb_France'], dtype=object))",33.919783094262996,22.909674699660634,46.16103072894587,34.40718986693548,31.47394687765977,21.033762400438597
"(10, array(['APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay', 'PrevWeek',
       'DA_margin', 'DA_price_france', 'DA_imb_France'], dtype=object))",35.619596764293355,23.696658213800905,46.1674059252537,33.44795865188172,33.58575880187742,22.105654633552636
"(11, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'DA_imb_France'],
      dtype=object))",35.241283339115235,23.765501314102565,45.165929276559844,32.7896051061828,33.34284707558578,22.293145607675434
"(12, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'DA_imb_France'], dtype=object))",36.185039377958695,23.34227767006033,45.22475946420817,31.853677513440857,34.48601351965589,21.953573660526313
"(13, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'PrevDay',
       'PrevWeek', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",37.17341531277977,23.662053980015084,45.789383333239975,32.235880498655916,35.57015949755305,22.26316456557017
