,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
PrevDay,33.36643049242473,16.954001515301403,48.360680008327215,30.245660699778988,30.466812832941464,14.946407159312603
APXP,32.52442015795569,16.629142223814846,46.922581527743596,29.521264488882593,29.750004053000268,14.681894590028568
LOLP,32.507839784292884,16.65119995937099,46.869292106187544,29.60008519524629,29.741831542371163,14.69537875186899
In_gen,32.61294832389657,16.586808838895774,46.99324562562567,29.45132104916438,29.844561127098295,14.643731473803118
Ren_R,32.31881699013592,16.829379958370446,46.35036155495692,29.616434742048533,29.6273281803935,14.898001892085732
DA_imb_France,32.43390121520877,16.776318124704666,46.7726688272858,29.73142511015185,29.671808360799215,14.819557173777753
Rene,32.38385990726944,16.779992520609074,46.52592562060651,29.587076495597305,29.667487784779276,14.845589211886896
ratio_offers_vol,32.38970388525257,16.85500666315844,46.68707553105782,29.68751834225238,29.636577133151356,14.916762711628628
DA_price_france,32.39661522899999,17.05793382598212,46.680832425205125,29.689072635919576,29.646755947987995,15.150105568231147
TSDF,32.188101517687095,16.950442475682358,45.961615081079955,29.38518262173416,29.554918474903978,15.072278599455785
dino_bin,32.119005847852215,16.955317614497854,45.87426519663956,29.391558937058306,29.488817671209226,15.076926998069451
DA_margin,32.09498292007627,16.932271860782933,46.156621728805675,29.570591984022975,29.392003418976085,15.023358925501883
Im_Pr,32.2301046283757,16.96676862008059,46.14333312017857,29.508574215656452,29.564838072705122,15.072433399915484
