,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
"(1, array(['APXP'], dtype=object))",32.80473356949522,16.492221837412874,83.75640154382572,69.01821727116021,13.159683321944941,8.506080046877873
"(2, array(['APXP', 'PrevDay'], dtype=object))",32.52442015795569,16.62914222381484,82.93021669637203,68.25231296826173,13.153653760225852,8.780267436431517
"(3, array(['APXP', 'LOLP', 'PrevDay'], dtype=object))",32.507839784292884,16.651199959370985,82.8849589942604,68.33741245462166,13.14980576171618,8.79274019684373
"(4, array(['APXP', 'LOLP', 'PrevDay', 'ratio_offers_vol'], dtype=object))",32.73280644062277,16.62685138310294,83.66480839325479,69.1522515290014,13.041400566282963,8.64080010114618
"(5, array(['APXP', 'TSDF', 'LOLP', 'PrevDay', 'ratio_offers_vol'],
      dtype=object))",32.23043140544098,17.002811969242906,81.99882601407779,67.40040773355292,13.207672017260283,9.340275688830872
"(6, array(['APXP', 'Rene', 'TSDF', 'LOLP', 'PrevDay', 'ratio_offers_vol'],
      dtype=object))",32.30687263659414,17.11659387486106,82.25303842401912,67.92249092515338,13.182469409291897,9.391978771645455
"(7, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'LOLP', 'PrevDay',
       'ratio_offers_vol'], dtype=object))",32.33621583753452,17.13998997576117,82.35619100308183,67.94615143232295,13.16742514997383,9.41533467176612
"(8, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'ratio_offers_vol'], dtype=object))",32.574863330313285,16.94650023191579,83.17322718322396,68.74832189726675,13.063864414775693,9.070463054299438
"(9, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'dino_bin', 'ratio_offers_vol'], dtype=object))",32.418410137257005,16.903912307719136,82.76250898546107,68.30329905979664,13.0120020921891,9.089062019610045
"(10, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'In_gen', 'LOLP', 'PrevDay',
       'DA_margin', 'dino_bin', 'ratio_offers_vol'], dtype=object))",32.33777701068537,16.773818011253205,82.68400741183794,68.32863160718685,12.85579670165685,8.935336361132974
"(11, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'LOLP',
       'PrevDay', 'DA_margin', 'dino_bin', 'ratio_offers_vol'],
      dtype=object))",32.40591503356237,16.836474207411488,82.93788868733697,68.62311042141833,12.804712187330821,8.962745851676301
"(12, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'LOLP',
       'PrevDay', 'DA_margin', 'dino_bin', 'ratio_offers_vol',
       'DA_imb_France'], dtype=object))",32.48420812972491,16.87844064105585,83.10100324036435,68.68097348649712,12.87228584200883,9.002295334407524
"(13, array(['Ren_R', 'APXP', 'Rene', 'TSDF', 'Im_Pr', 'In_gen', 'LOLP',
       'PrevDay', 'DA_margin', 'DA_price_france', 'dino_bin',
       'ratio_offers_vol', 'DA_imb_France'], dtype=object))",32.51447800231898,17.08802627008094,83.16599931219571,68.99202335051444,12.89648470367966,9.196454168364294
