,Features,Coefficients,abs coeff
1,APXP,20.566778738799442,20.566778738799442
12,ratio_offers_vol,16.48268810936389,16.48268810936389
7,PrevDay,14.968717394484655,14.968717394484655
3,TSDF,10.623057932003213,10.623057932003213
2,Rene,-10.274875811842463,10.274875811842463
5,In_gen,-9.129427859993811,9.129427859993811
0,Ren_R,8.864819456017479,8.864819456017479
4,Im_Pr,6.743821349348181,6.743821349348181
8,PrevWeek,6.362073365173649,6.362073365173649
10,DA_price_france,5.315712105113217,5.315712105113217
9,DA_margin,-4.278731919035785,4.278731919035785
11,dino_bin,3.882862222259817,3.882862222259817
13,DA_imb_France,-3.6764255437527993,3.6764255437527993
6,LOLP,3.3560398129995495,3.3560398129995495
