,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
24 ,47.28414424598878,22.284302488742156,111.36647614218175,66.31908184835619,19.467505662306138,14.241963118520246
22 ,39.27631780529923,21.75875971104239,88.37646701636044,63.95549668372182,19.117954422324008,13.83390547133563
20 ,38.90702184526318,21.12478386781549,87.61615625547363,62.04010681294652,19.020053520121127,13.476646785689436
18 ,39.978426424409996,21.602879753968228,91.12927253827986,64.99982356481014,19.48542103956529,13.717242623964676
16 ,31.22681311946768,19.177396748931265,72.75080333799848,58.35602986739727,15.182455937225445,12.42065387154876
14 ,31.77237105359272,18.669046859582785,75.61107216974605,61.06525834509565,14.447599901034645,11.457486858614542
12 ,32.04462511295321,18.33357388012782,80.37648414448992,65.75562168307827,14.273800783105296,11.149673468647585
10 ,32.20466925849433,17.195270053936177,82.42616167289995,67.8656072127706,13.107181781223929,9.578851942378602
8 ,30.576885105590666,15.301093501856435,78.69446914668339,64.89188382947434,11.821696465772357,7.8010522006782415
6 ,28.328231448732584,14.237348696448603,70.72143065867837,56.462858462078884,10.834365075790505,7.347923418898399
4 ,29.792135062930235,15.462565240195117,72.40712877958566,57.997553974454284,12.093680214911277,8.222567157768028
2 ,33.85411133567244,18.24970823938403,91.65583557944677,82.19453784876234,14.697354211229724,10.051653161258606
