,rmse_general,mae_general,rmse_spike,mae_spike,rmse_normal,mae_normal
24 ,48.04747693762386,21.54415980532102,114.17331464407738,69.92951245588625,18.692924947084027,12.707248794916392
22 ,40.61175284718977,20.59122358019789,92.9732300175385,68.48576220424198,18.32096049264132,11.596280731434447
20 ,40.80427815461451,19.227652003975436,93.70115648213665,67.81312624595925,18.30371892327925,10.145764328272358
18 ,41.829613893426156,19.870668593870825,96.88619929458757,70.668844784227,19.02528107924184,10.64015720004639
16 ,32.041876600971044,16.721748526567623,77.75784155354663,63.96393358447848,12.68866286968358,8.57436634412043
14 ,32.945757502672556,16.603168885415144,80.6492598778612,66.59903189570437,12.793590789883227,8.098914536601647
12 ,33.370130855823255,16.227172539460316,85.64573076870477,71.32097819015846,13.078997830862168,7.881088145790637
10 ,33.52810687632931,16.15594061313601,86.36782947491938,71.9230291116662,13.109532550637292,7.773413740705582
8 ,31.357519239030136,14.936488526727484,80.65645337522942,67.14785324433957,12.170820828384498,7.040115244793974
6 ,28.677632596621645,13.853012138217451,71.61836842763421,57.8587532059399,10.941699455299558,6.673128069273264
4 ,30.18605844079546,15.03777531607592,73.40452251712826,59.46900010318534,12.212746587393413,7.475013650184956
2 ,34.33115679340951,18.690900098736822,92.26915487869645,83.05105266917766,15.435275672118165,10.439598487141845
