,index,time_peak,peak(MW),total_cap(MW)
0,20160101,2100,7237,21588
1,20160102,2100,4786,14211
2,20160103,2100,4851,13447
3,20160104,2200,5235,15638
4,20160105,2100,2498,7120
5,20160106,2300,5723,15896
6,20160107,2100,5622,15898
7,20160108,2100,2005,5840
8,20160109,2200,4012,11991
9,20160110,2100,4019,11652
10,20160111,2300,3436,9815
11,20160112,2300,5741,16906
12,20160113,2300,2517,7336
13,20160114,2300,4905,14257
14,20160115,2100,3119,8985
15,20160116,2100,1309,3862
16,20160117,2300,3704,10710
17,20160118,2100,422,1140
18,20160119,2300,276,814
19,20160120,2300,1507,4009
20,20160121,2300,6092,17999
21,20160122,2200,6354,18995
22,20160123,2100,5377,15844
23,20160124,2300,6199,18315
24,20160125,2100,6244,17900
25,20160126,2100,6121,16335
26,20160127,2300,6207,18260
27,20160128,2100,6969,20774
28,20160129,2200,7010,20833
29,20160130,2200,6866,20501
30,20160131,2300,5920,15747
31,20160201,2100,4237,12437
32,20160202,2100,6419,18642
33,20160203,2300,3762,10903
34,20160204,2300,4266,11564
35,20160205,2300,4810,13879
36,20160206,2300,6730,19683
37,20160207,2100,6107,17826
38,20160208,2300,5189,15509
39,20160209,2300,5861,17414
40,20160210,2100,3380,9884
41,20160211,2300,819,2359
42,20160212,2300,2623,7607
43,20160213,2100,3874,11169
44,20160214,2100,5335,15668
45,20160215,2300,1955,5404
46,20160216,2100,5819,16670
47,20160217,2200,1937,5771
48,20160218,2100,1641,4861
49,20160219,2100,7191,21522
50,20160220,2300,6923,20721
51,20160221,2100,6670,19914
52,20160222,2100,2156,6411
53,20160223,2100,931,2464
54,20160224,2300,944,2717
55,20160225,2300,310,829
56,20160226,2100,1072,3119
57,20160227,2100,2092,5974
58,20160228,2100,1790,5275
59,20160229,2300,5308,15238
60,20160301,2300,6214,18566
61,20160302,2300,4983,14674
62,20160303,2300,3854,10275
63,20160304,2100,3322,9653
64,20160305,2100,3936,11408
65,20160306,2300,1419,3912
66,20160307,2300,841,2467
67,20160308,2300,2472,7231
68,20160309,2100,1313,3288
69,20160310,2300,907,2700
70,20160311,2300,2300,6569
71,20160312,2100,1402,3998
72,20160313,2100,1398,4146
73,20160314,2100,1729,4572
