Date,GBP,EUR
31/12/2018,1,1.1179
30/12/2018,1,1.1078
29/12/2018,1,1.1078
28/12/2018,1,1.1078
27/12/2018,1,1.1102
26/12/2018,1,1.1106
25/12/2018,1,1.1106
24/12/2018,1,1.1106
23/12/2018,1,1.1085
22/12/2018,1,1.1085
21/12/2018,1,1.1085
20/12/2018,1,1.107
19/12/2018,1,1.1072
18/12/2018,1,1.1146
17/12/2018,1,1.1125
16/12/2018,1,1.1132
15/12/2018,1,1.1132
14/12/2018,1,1.1132
13/12/2018,1,1.113
12/12/2018,1,1.1094
11/12/2018,1,1.1083
10/12/2018,1,1.1081
09/12/2018,1,1.1225
08/12/2018,1,1.1225
07/12/2018,1,1.1225
06/12/2018,1,1.1245
05/12/2018,1,1.125
04/12/2018,1,1.1229
03/12/2018,1,1.1217
02/12/2018,1,1.1227
01/12/2018,1,1.1227
30/11/2018,1,1.1227
29/11/2018,1,1.1219
28/11/2018,1,1.1332
27/11/2018,1,1.1268
26/11/2018,1,1.1307
25/11/2018,1,1.1302
24/11/2018,1,1.1302
23/11/2018,1,1.1302
22/11/2018,1,1.1287
21/11/2018,1,1.1222
20/11/2018,1,1.1248
19/11/2018,1,1.1225
18/11/2018,1,1.1319
17/11/2018,1,1.1319
16/11/2018,1,1.1319
15/11/2018,1,1.1316
14/11/2018,1,1.1488
13/11/2018,1,1.1502
12/11/2018,1,1.142
11/11/2018,1,1.1487
10/11/2018,1,1.1487
09/11/2018,1,1.1487
08/11/2018,1,1.1473
07/11/2018,1,1.1441
06/11/2018,1,1.1453
05/11/2018,1,1.1424
04/11/2018,1,1.138
03/11/2018,1,1.138
02/11/2018,1,1.138
01/11/2018,1,1.1341
31/10/2018,1,1.1252
30/10/2018,1,1.1217
29/10/2018,1,1.1263
28/10/2018,1,1.1276
27/10/2018,1,1.1276
26/10/2018,1,1.1276
25/10/2018,1,1.1295
24/10/2018,1,1.1334
23/10/2018,1,1.135
22/10/2018,1,1.1309
21/10/2018,1,1.1361
20/10/2018,1,1.1361
19/10/2018,1,1.1361
18/10/2018,1,1.1384
17/10/2018,1,1.1371
16/10/2018,1,1.1416
15/10/2018,1,1.1358
14/10/2018,1,1.141
13/10/2018,1,1.141
12/10/2018,1,1.141
11/10/2018,1,1.143
10/10/2018,1,1.1435
09/10/2018,1,1.1405
08/10/2018,1,1.1362
07/10/2018,1,1.1342
06/10/2018,1,1.1342
05/10/2018,1,1.1342
04/10/2018,1,1.1289
03/10/2018,1,1.1249
02/10/2018,1,1.1231
01/10/2018,1,1.1226
30/09/2018,1,1.127
29/09/2018,1,1.127
28/09/2018,1,1.127
27/09/2018,1,1.1239
26/09/2018,1,1.1226
25/09/2018,1,1.1183
24/09/2018,1,1.1178
23/09/2018,1,1.1186
22/09/2018,1,1.1186
21/09/2018,1,1.1186
20/09/2018,1,1.1288
19/09/2018,1,1.126
18/09/2018,1,1.1241
17/09/2018,1,1.1252
16/09/2018,1,1.1207
15/09/2018,1,1.1207
14/09/2018,1,1.1207
13/09/2018,1,1.1236
12/09/2018,1,1.1232
11/09/2018,1,1.1227
10/09/2018,1,1.1193
09/09/2018,1,1.1201
08/09/2018,1,1.1201
07/09/2018,1,1.1201
06/09/2018,1,1.1133
05/09/2018,1,1.1071
04/09/2018,1,1.1104
03/09/2018,1,1.1092
02/09/2018,1,1.1143
01/09/2018,1,1.1143
31/08/2018,1,1.1143
30/08/2018,1,1.1141
29/08/2018,1,1.105
28/08/2018,1,1.1028
27/08/2018,1,1.1066
26/08/2018,1,1.1086
25/08/2018,1,1.1086
24/08/2018,1,1.1086
23/08/2018,1,1.1126
22/08/2018,1,1.112
21/08/2018,1,1.1143
20/08/2018,1,1.1176
19/08/2018,1,1.1164
18/08/2018,1,1.1164
17/08/2018,1,1.1164
16/08/2018,1,1.1173
15/08/2018,1,1.122
14/08/2018,1,1.1198
13/08/2018,1,1.1194
12/08/2018,1,1.1151
11/08/2018,1,1.1151
10/08/2018,1,1.1151
09/08/2018,1,1.1119
08/08/2018,1,1.1101
07/08/2018,1,1.1175
06/08/2018,1,1.1201
05/08/2018,1,1.123
04/08/2018,1,1.123
03/08/2018,1,1.123
02/08/2018,1,1.1218
01/08/2018,1,1.1231
31/07/2018,1,1.1208
30/07/2018,1,1.1227
29/07/2018,1,1.1258
28/07/2018,1,1.1258
27/07/2018,1,1.1258
26/07/2018,1,1.1254
25/07/2018,1,1.1254
24/07/2018,1,1.1214
23/07/2018,1,1.1215
22/07/2018,1,1.118
21/07/2018,1,1.118
20/07/2018,1,1.118
19/07/2018,1,1.1198
18/07/2018,1,1.1221
17/07/2018,1,1.1271
16/07/2018,1,1.1329
15/07/2018,1,1.1301
14/07/2018,1,1.1301
13/07/2018,1,1.1301
12/07/2018,1,1.133
11/07/2018,1,1.1302
10/07/2018,1,1.132
09/07/2018,1,1.1319
08/07/2018,1,1.1287
07/07/2018,1,1.1287
