,PrevDay,PrevWeek
2016010101,,
2016010102,,
2016010103,,
2016010104,,
2016010105,,
2016010106,,
2016010107,,
2016010108,,
2016010109,,
2016010110,,
2016010111,,
2016010112,,
2016010113,,
2016010114,,
2016010115,,
2016010116,,
2016010117,,
2016010118,,
2016010119,,
2016010120,,
2016010121,,
2016010122,,
2016010123,,
2016010124,,
2016010125,,
2016010126,,
2016010127,,
2016010128,,
2016010129,,
2016010130,,
2016010131,,
2016010132,,
2016010133,,
2016010134,,
2016010135,,
2016010136,,
2016010137,,
2016010138,,
2016010139,,
2016010140,,
2016010141,,
2016010142,,
2016010143,,
2016010144,,
2016010145,,
2016010146,,
2016010147,,
2016010148,,
2016010201,59.0,
2016010202,120.0,
2016010203,160.0,
2016010204,150.0,
2016010205,140.0,
2016010206,150.0,
2016010207,160.0,
2016010208,60.0,
2016010209,59.0,
2016010210,140.0,
2016010211,140.0,
2016010212,59.0,
2016010213,128.0,
2016010214,140.0,
2016010215,160.0,
2016010216,160.0,
2016010217,59.0,
2016010218,140.0,
2016010219,139.0,
2016010220,59.0,
2016010221,59.0,
2016010222,57.0,
2016010223,55.0,
2016010224,89.89,
2016010225,139.0,
2016010226,89.89,
2016010227,56.48,
2016010228,55.0,
2016010229,56.23,
2016010230,60.0,
2016010231,128.0,
2016010232,64.5,
2016010233,64.5,
2016010234,64.5,
2016010235,140.0,
2016010236,140.0,
2016010237,64.5,
2016010238,64.5,
2016010239,160.0,
2016010240,160.0,
2016010241,160.0,
2016010242,160.0,
2016010243,160.0,
2016010244,75.0,
2016010245,75.0,
2016010246,75.0,
2016010247,160.0,
2016010248,75.0,
2016010301,75.0,
2016010302,75.0,
2016010303,75.0,
2016010304,75.0,
2016010305,140.0,
2016010306,75.0,
2016010307,75.0,
2016010308,75.0,
2016010309,75.0,
2016010310,75.0,
2016010311,75.0,
2016010312,75.0,
2016010313,75.0,
2016010314,75.0,
2016010315,150.0,
2016010316,75.0,
2016010317,75.0,
2016010318,75.0,
2016010319,75.0,
2016010320,75.0,
2016010321,75.0,
2016010322,75.0,
2016010323,75.0,
2016010324,139.0,
2016010325,140.0,
2016010326,135.0,
2016010327,139.0,
2016010328,139.0,
2016010329,140.0,
2016010330,80.0,
2016010331,80.0,
2016010332,80.0,
2016010333,80.0,
2016010334,80.0,
2016010335,80.0,
2016010336,80.0,
2016010337,160.0,
2016010338,160.0,
2016010339,170.0,
2016010340,80.0,
2016010341,80.0,
2016010342,80.0,
2016010343,75.0,
2016010344,75.0,
2016010345,139.0,
2016010346,75.0,
2016010347,140.0,
2016010348,75.0,
2016010401,75.0,
2016010402,75.0,
2016010403,150.0,
2016010404,75.0,
2016010405,75.0,
2016010406,75.0,
2016010407,75.0,
2016010408,75.0,
2016010409,75.0,
2016010410,160.0,
2016010411,75.0,
2016010412,75.0,
2016010413,180.0,
2016010414,180.0,
2016010415,75.0,
2016010416,75.0,
2016010417,75.0,
2016010418,75.0,
2016010419,150.0,
2016010420,139.0,
2016010421,155.0,
2016010422,155.0,
2016010423,75.0,
2016010424,61.75,
2016010425,155.0,
2016010426,155.0,
2016010427,160.0,
2016010428,155.0,
2016010429,110.0,
2016010430,65.0,
2016010431,82.25,
2016010432,66.0,
2016010433,70.0,
2016010434,155.0,
2016010435,160.0,
2016010436,70.0,
2016010437,139.0,
2016010438,155.0,
2016010439,139.0,
2016010440,140.0,
2016010441,140.0,
2016010442,150.0,
2016010443,150.0,
2016010444,139.0,
2016010445,139.0,
2016010446,160.0,
2016010447,140.0,
2016010448,75.0,
2016010501,75.0,
2016010502,75.0,
2016010503,150.0,
2016010504,150.0,
2016010505,75.0,
2016010506,75.0,
2016010507,75.0,
2016010508,160.0,
2016010509,75.0,
2016010510,75.0,
2016010511,75.0,
2016010512,75.0,
2016010513,160.0,
2016010514,140.0,
2016010515,9999.0,
2016010516,140.0,
2016010517,140.0,
2016010518,139.0,
2016010519,160.0,
2016010520,140.0,
2016010521,99.0,
2016010522,99.0,
2016010523,99.0,
2016010524,99.0,
2016010525,140.0,
2016010526,140.0,
2016010527,65.0,
2016010528,140.0,
2016010529,140.0,
2016010530,140.0,
2016010531,140.0,
2016010532,139.0,
2016010533,72.0,
2016010534,155.0,
2016010535,72.48,
2016010536,72.0,
2016010537,155.0,
2016010538,72.0,
2016010539,140.0,
2016010540,140.0,
2016010541,66.0,
2016010542,160.0,
2016010543,160.0,
2016010544,160.0,
2016010545,160.0,
2016010546,160.0,
2016010547,160.0,
2016010548,140.0,
2016010601,74.5,
2016010602,160.0,
2016010603,79.99,
2016010604,79.99,
2016010605,79.99,
2016010606,79.99,
2016010607,79.99,
2016010608,79.99,
2016010609,79.99,
2016010610,79.99,
2016010611,140.0,
2016010612,60.0,
2016010613,140.0,
2016010614,185.0,
2016010615,185.0,
2016010616,185.0,
2016010617,160.0,
2016010618,160.0,
2016010619,140.0,
2016010620,155.0,
2016010621,139.0,
2016010622,140.0,
2016010623,155.0,
2016010624,155.0,
2016010625,155.0,
2016010626,140.0,
2016010627,140.0,
2016010628,140.0,
2016010629,120.0,
2016010630,120.0,
2016010631,71.0,
2016010632,120.0,
2016010633,160.0,
2016010634,160.0,
2016010635,124.0,
2016010636,160.0,
2016010637,160.0,
2016010638,124.0,
2016010639,139.0,
2016010640,139.0,
2016010641,140.0,
2016010642,160.0,
2016010643,160.0,
2016010644,120.0,
2016010645,140.0,
2016010646,140.0,
2016010647,140.0,
2016010648,120.0,
2016010701,120.0,
2016010702,80.0,
2016010703,80.0,
2016010704,80.0,
2016010705,80.0,
2016010706,80.0,
2016010707,50.0,
2016010708,51.0,
2016010709,51.0,
2016010710,51.0,
2016010711,56.48,
2016010712,140.0,
2016010713,160.0,
2016010714,140.0,
2016010715,155.0,
2016010716,155.0,
2016010717,139.0,
2016010718,130.0,
2016010719,155.0,
2016010720,155.0,
2016010721,139.0,
2016010722,139.0,
2016010723,48.45,
2016010724,48.45,
2016010725,48.45,
2016010726,48.45,
2016010727,48.45,
2016010728,66.25,
2016010729,66.25,
2016010730,70.0,
2016010731,82.0,
2016010732,82.0,
2016010733,82.0,
2016010734,82.0,
2016010735,139.0,
2016010736,139.0,
2016010737,140.0,
2016010738,139.0,
2016010739,139.0,
2016010740,139.0,
2016010741,139.0,
2016010742,140.0,
2016010743,140.0,
2016010744,60.0,
2016010745,139.0,
2016010746,90.0,
2016010747,75.0,
2016010748,75.0,
2016010801,160.0,59.0
2016010802,75.0,120.0
2016010803,75.0,160.0
2016010804,75.0,150.0
2016010805,75.0,140.0
2016010806,75.0,150.0
2016010807,75.0,160.0
2016010808,75.0,60.0
2016010809,75.0,59.0
2016010810,75.0,140.0
2016010811,75.0,140.0
2016010812,160.0,59.0
2016010813,75.0,128.0
2016010814,90.0,140.0
2016010815,139.0,160.0
2016010816,160.0,160.0
2016010817,140.0,59.0
2016010818,139.0,140.0
2016010819,49.9,139.0
2016010820,140.0,59.0
2016010821,140.0,59.0
2016010822,325.0,57.0
2016010823,325.0,55.0
2016010824,185.0,89.89
2016010825,185.0,139.0
2016010826,185.0,89.89
2016010827,140.0,56.48
2016010828,61.0,55.0
2016010829,69.95,56.23
2016010830,69.95,60.0
2016010831,85.0,128.0
2016010832,140.0,64.5
2016010833,90.0,64.5
2016010834,185.0,64.5
2016010835,185.0,140.0
2016010836,100.0,140.0
2016010837,138.0,64.5
2016010838,85.0,64.5
2016010839,85.0,160.0
2016010840,140.0,160.0
2016010841,140.0,160.0
2016010842,140.0,160.0
2016010843,140.0,160.0
2016010844,48.5,75.0
2016010845,46.95,75.0
2016010846,52.0,75.0
2016010847,140.0,160.0
2016010848,65.0,75.0
2016010901,65.0,75.0
2016010902,65.0,75.0
2016010903,140.0,75.0
2016010904,65.0,75.0
2016010905,65.0,140.0
2016010906,140.0,75.0
2016010907,65.0,75.0
2016010908,65.0,75.0
2016010909,65.0,75.0
2016010910,65.0,75.0
2016010911,160.0,75.0
2016010912,65.0,75.0
2016010913,160.0,75.0
2016010914,140.0,75.0
2016010915,155.0,150.0
2016010916,155.0,75.0
2016010917,140.0,75.0
2016010918,120.0,75.0
2016010919,120.0,75.0
2016010920,65.0,75.0
2016010921,51.95,75.0
2016010922,51.95,75.0
2016010923,51.95,75.0
2016010924,51.95,139.0
2016010925,51.95,140.0
2016010926,51.95,135.0
2016010927,51.95,139.0
2016010928,139.0,139.0
2016010929,51.95,140.0
2016010930,90.0,80.0
2016010931,90.0,80.0
2016010932,140.0,80.0
2016010933,140.0,80.0
2016010934,140.0,80.0
2016010935,139.0,80.0
2016010936,140.0,80.0
2016010937,160.0,160.0
2016010938,140.0,160.0
2016010939,160.0,170.0
2016010940,160.0,80.0
2016010941,139.0,80.0
2016010942,140.0,80.0
2016010943,140.0,75.0
2016010944,139.0,75.0
2016010945,139.0,139.0
2016010946,140.0,75.0
2016010947,80.0,140.0
2016010948,90.0,75.0
2016011001,120.0,75.0
2016011002,80.0,75.0
2016011003,160.0,150.0
2016011004,160.0,75.0
2016011005,160.0,75.0
2016011006,80.0,75.0
2016011007,80.0,75.0
2016011008,80.0,75.0
2016011009,80.0,75.0
2016011010,80.0,160.0
2016011011,80.0,75.0
2016011012,140.0,75.0
2016011013,80.0,180.0
2016011014,80.0,180.0
2016011015,90.0,75.0
2016011016,120.89174783506277,75.0
2016011017,120.89174783506277,75.0
2016011018,120.89174783506277,75.0
2016011019,120.89174783506277,150.0
2016011020,160.0,139.0
2016011021,139.0,155.0
2016011022,65.0,155.0
2016011023,56.48,75.0
2016011024,56.48,61.75
2016011025,140.0,155.0
2016011026,140.0,155.0
2016011027,140.0,160.0
2016011028,139.0,155.0
2016011029,140.0,110.0
2016011030,140.0,65.0
2016011031,52.0,82.25
2016011032,140.0,66.0
2016011033,140.0,70.0
2016011034,138.0,155.0
2016011035,99.0,160.0
2016011036,90.0,70.0
2016011037,74.95,139.0
2016011038,140.0,155.0
